id	section	location	citation_as_written	canon_card	bib_verdict	claim	claim_verdict	evidence	first_commit
Lee2020	1b	main.tex:89,111,252,507,743 · refs.bib:135	Lee, Fujiki, Jung, …, "High-energy long-cycling all-solid-state lithium metal batteries enabled by silver–carbon composite anodes", Nat. Energy 5 (2020) 299–308	없음	V (검색 — 감사 C E2)	① cathode ASR 문헌 범위·"experimental envelopes" ② "E_eff taken from a Tabor-regime calibration (Sakuda2013, Lee2020)"	B⚠ · B⚠	Ag–C 음극 논문 — 양극 ASR 범위나 Tabor 보정의 근거로는 주제가 다르다 (원문 미대조, 카드 없음)	c66f9ae94 2026-05-08
Doux2020	1b	main.tex:106 · refs.bib:424	Doux, …, Meng, "Stack pressure considerations for room-temperature all-solid-state lithium metal batteries", AEM 10 (2020) 1903253	doux2020_stack_pressure_assb	V	"packing (Doux2020)" · bib note "cited for the assumed P_press = **380** MPa compaction target"	C · M	카드: 펠릿 370 MPa (380 은 Minnmann 2021 의 제조압). plainnat 가 note 를 찍는다	49e3f85b8 2026-05-15
JanekZeier2023	1b	main.tex:105 · refs.bib:474	Janek & Zeier, "Challenges in speeding up solid-state battery development", Nat. Energy 8 (2023) 230–240	없음	V (검색)	"granular-mechanics view of an ASSB composite cathode" · note "composite-cathode microstructure as the key bottleneck"	B	검색 요약: 복합 양극의 빠른 이온전도 SE 필요 등 — 방향 일치	49e3f85b8
DiRenzo2004	1b	main.tex:756 · refs.bib:778	Di Renzo & Di Maio, Chem. Eng. Sci. 59 (2004) 525–541	없음	V (검색)	Hooke vs Hertz 접촉력 모델 비교	B	검색 요약: 선형 (Hooke) · Hertz–Mindlin 등 세 모델 비교 — 주장과 맞다	—
Minnmann2021bottleneck	1b	main.tex:830 · refs.bib:122	Minnmann, Quillman, Burkhardt, Richter, Janek, JES 168 (2021) 040537, doi abf8d7	minnmann2021_jes_charge_transport_bottlenecks	V	NCM-622/Li₆PS₅Cl 복합, 380 MPa, 공극 13–17 %	V	카드 §0 표 (감사 C A6)	—
Kloss2012	1b	main.tex:229 · refs.bib:157	Kloss et al., PCFD 12 (2012) 140–152, doi 10.1504/PCFD.2012.047457	없음	V (검색 — 감사 C)	LIGGGHTS-PUBLIC	C	—	
Auerbach1891	1b	main.tex:309,752 · refs.bib:24	Auerbach, "Absolute Härtemessung", Ann. Phys. Chem. 43 (1891) 61–100	없음	V (감사 B A1)	Auerbach 임계하중	C	—	
Holm1967	1b	main.tex:70,193,264,807 · refs.bib:5	Holm, Electric Contacts: Theory and Application, 4th ed., Springer 1967 (@article · journal = Springer-Verlag)	없음	V (내용) · 형식 오류 (책을 @article 로 — plainnat 가 출판사를 학술지처럼 찍는다)	협착저항 R = 1/(2σa)	C	감사 C C1	—
Heckel1961	1b	main.tex:566 · refs.bib:215	Heckel, Trans. Metall. Soc. AIME 221 (1961) 671–675	없음	V (검색)	ε = ε₀ exp(−K P)	C	—	
Sonnergaard1999	1b	main.tex:566 · refs.bib:753	Sonnergaard, Int. J. Pharm. 193 (1999) 63–71	없음	V (검색)	Heckel 동반	C	—	
Tabor1948	1b	main.tex:679 · refs.bib:273	Tabor, Proc. R. Soc. A 192 (1948) 247–274	없음	V (검색)	σ_y = H/3	C	—	
Hertz1882	1b	main.tex:753 · refs.bib:340	Hertz, J. reine angew. Math. 92 (1882) 156–171	없음	V (검색)	Hertz 접촉력	C	—	
StaufferAharony1994	1b	main.tex:571 · refs.bib:677	Stauffer & Aharony, Introduction to Percolation Theory, 2nd ed., Taylor & Francis 1994	없음	V (기억 — 고전 교과서)	퍼콜레이션 이론 배경	C	—	
Kirkpatrick1973	1b	main.tex:571 · refs.bib:701	Kirkpatrick, Rev. Mod. Phys. 45 (1973) 574–588	없음	V (감사 C 검색)	퍼콜레이션 배경	C	—	
Sahimi1994	1b	main.tex:571 · refs.bib:726	Sahimi, Applications of Percolation Theory, Taylor & Francis 1994	없음	V (검색)	퍼콜레이션 배경	C	—	
Radjai1996	1b	main.tex:971 · refs.bib:315	Radjai, Jean, Moreau, Roux, PRL 77 (1996) 274–277	없음	V (감사 C 검색)	강/약 힘 네트워크 컷오프 ⟨\|F_n\|⟩	C	—	
Mueth1998	1b	main.tex:974 · refs.bib:364	Mueth, Jaeger, Nagel, PRE 57 (1998) 3164	없음	V (검색)	힘 분포 지수꼬리	C	—	
Majmudar2005	1b	main.tex:974 · refs.bib:376	Majmudar & Behringer, Nature 435 (2005) 1079–1082	없음	V (검색)	광탄성 힘사슬	C	—	
Sohn1968	1b	main.tex:560 · refs.bib:646	Sohn & Moreland, Can. J. Chem. Eng. 46 (1968) 162–167	없음	V (검색)	이성분 충전밀도 배경	B	검색 요약: 입도분포 폭이 넓을수록 충전밀도↑ — 배경 인용으로 맞다	
Hopkins2013	1b	main.tex:560 · refs.bib:659	Hopkins, Stillinger, Torquato, PRE 88 (2013) 022205	없음	V (검색)	이성분 무질서 충전 (RCP 봉투)	B	검색 요약: 이성분 strictly-jammed 충전 0.634–0.829 — 주제 일치	
G1c-1	1c	Methods_simulation_v7_for_coauthors.docx §2·§3 (Full/Compact Methods)	"the dense-material value (24 GPa) is listed beside it in Table S2" (인용 번호 없음)	sakuda2013 (build.js 가 달던 출처)	—	LPSCl 치밀 영률 24 GPa	M (소재)	24 GPa 는 75Li₂S·25P₂S₅ 유리값 (SA-2). v7 docx §4 표 S2 도 "E(dense) = 24 GPa" 를 둔다 — 반면 준희 검토본 docx 는 이 행을 뺐다 (si_table_response §7-2 #5)	6e65e28bd 2026-08-29
G1c-2	1c	Methods v7 docx §2·§3	"The ~10 % target is derived from composite and glass literature rather than measured directly on pure LPSCl at 300 MPa"	— (문헌 이름 없음)	—	~10 % 표적이 복합·유리 문헌에서 유도됨	M	그 문헌값은 13–17 % (복합, Minnmann 2021 JES) · ~13 % (유리, Sakuda 판독). 10 % 를 주는 정본 카드는 없다 (감사 A ④, C A1). 방어 가능한 문장형은 "within the inter-laboratory spread of pure Li₆PS₅Cl pellets (13 ± 5 % at 275–441 MPa; Ohno 2020 SI)" 정도	6e65e28bd 2026-08-29
G1c-3	1c	Methods v7 docx §2·§3 · Limitations	"more compacted than the experimental porosity anchor" · 한국어부 "실험 앵커(~15.6 %) 대비 과압축"	—	—	15.6 % 가 실험 공극 앵커	U⚠	리포 정본 표 (docs/reviews/fam_platen_prereg_20260812.md:30) 가 "실험 \| 15.6 % (ε_sphere) \| 출처: **DEM 정본**" 이라 적는다 = real_14 LIGGGHTS 값. 실험 측정 기록을 리포에서 찾지 못했다	6e65e28bd 2026-08-29 (영문) · a30e0c541 2026-08-12 (표)
G1c-4	1c	Methods v7 docx "Conductivity of the carbon network"	"VGCF-H having a single-filament resistivity of 1 × 10⁻⁴ Ω cm (10⁴ S cm⁻¹)"	endo2001_vgcf_basic_properties_battery_applications	—	VGCF-H 단섬유 저항률	P	값은 Endo 2001 의 흑연화(2800 °C) 서브마이크론 VGCF 4 단자 1 × 10⁻⁴ Ω·cm — 그 논문에 "VGCF-H" 이름 없음 (카드 §3-5 가 "methods v7 초안의 두 곳" 을 명시)	a16328ce0 2026-09-08
G1c-5	1c	Methods v7 docx 같은 문단	"compressed-powder (≈ 83 S cm⁻¹) measurements of VGCF-H"	endo2001	—	압분 VGCF-H 83 S/cm	P	Endo: 0.8 g/cm³ 압분 ≈0.012 Ω·cm ≈80 S/cm (Fig. 7 판독) — "83" 은 판독보다 자릿수가 많고 "VGCF-H" 라벨 근거 없음	a16328ce0 2026-09-08
G1c-6	1c	Methods v7 docx 같은 문단	"the low end of a range cited at the time as the literature band for graphitic fiber (10²–10³ S cm⁻¹)"	—	—	당시 인용된 문헌 밴드	U	출처 없는 이력 서술 (정정 문맥이라 해는 작다)	a16328ce0
G1c-7	1c	Methods v7 docx §8 σ_ion 문단 (build_methods_docx.py:233)	"같은 재료계에서 PTFE 1 wt% 가 이온 전도도를 26 % 떨어뜨린다는 실측이 있고, 그 두 로딩이 정확히 저희 SBE·DBE 의 바인더 함량입니다" (출처 이름 없음)	hong2026_sulfide_cathode_binder_digitaltwin	—	PTFE 1 wt% → σ_ion −26 % · 두 로딩 = SBE·DBE 함량	P	카드: Pwd 0.087 → PTFE (NCM:LPSCl:SuperC:PTFE = 75:22.5:1.5:1) 0.064 mS/cm (−26 %) — 값 V. 그러나 Hong 의 두 로딩은 0 / 1 wt% 이고 DBE 는 PTFE 0.5 wt% → "정확히 저희 함량" 불성립. 카드 L517: −26 % 는 차단과 치밀화가 상쇄된 뒤의 순값	2ce407eea 2026-08-30
G1c-8	1c	Methods v7 docx §1 ①	"같은 재료계·같은 코드의 선행 연구는 파라미터 민감도를 별도 절에 싣고 본문은 공칭값 하나를 씁니다"	— (선행 연구 이름 없음)	—	출판 관행 선례	U	어느 논문인지 안 적혀 대조 불가 (후보: bazzoun2025 DEM 민감도 카드)	—
G1c-9	1c	Methods v7 docx §4 표 S2	σ_e(SDCP) 250 "Assumed (specified by the authors, S-PEDOT class)"	— (CL-61: patil1987 은 근거 아님)	—	라벨	U (라벨 충돌)	ms_readthrough_20260903.md:544 는 09-04 저자 확인으로 "4-probe 실측 → Measured" 라 적는다 — v7 docx·build.js ("Assumed") 와 충돌. 문헌 인용은 아님	—
G1c-11	1c	사용자 원고 docx 표 S2 각주 ① (리포 기록: ms_readthrough_20260903.md:656–657 "최종 상태 ✅ 전부 반영" · codex_request_methods_si_20260908.md:93–94)	"※ Parameters marked "Calibrated" were adjusted so that the compacted packing reproduces the porosity and contact overlap measured for cold-pressed LPSCl.[S5]" (ms_readthrough 번호 체계에서 S5 = Cronau 2021)	cronau2021_stack_pressure_ionic_conductivity	V	냉간압밀 LPSCl 의 공극·접촉겹침이 [S5] 에서 측정됨	M	Cronau 2021 은 적층압–σ_ion 측정 논문 — 공극·겹침 항목 없음 (감사 C B6). 10 % 는 실험값이 아니고 11–12 % 겹침은 우리 DEM 결과. 09-08 Codex 요청 F·G 가 "measured" 와 E(MPM)·ν(MPM) 적용 범위는 지적했지만 [S5] 귀속 자체는 짚지 않았고, si_table_response_20260925 (§7) 에도 처리 기록이 없다. ⚠ docx 원본은 리포에 없어 현재 문안은 미확인	4882d04b6 2026-09-04 (기록)
G1c-10	1c	Methods v7 docx 전체	참고문헌 목록 · 인용 번호	—	—	—	—	이 docx 에는 참고문헌 목록·인용 번호가 없다 (문헌 이름 없이 값만 나온다) — 위 1–9 가 전부	—
G1s-2	1d	scripts/seminar_deck/build.js:129 (슬라이드 2 꼬리말)	J. Electrochem. Soc. 168 (2021) 040537 · Sci. Rep. 3 (2013) 2261	minnmann2021_jes · sakuda2013	V	"cold-pressed at 300 MPa" · 미세구조가 성능을 정한다	C	두 논문의 압밀압은 380 / 360 MPa — 꼬리말은 배경 인용	ed29d5715 2026-08-06
G1s-3	1d	build.js:150 (슬라이드 3)	Minnmann et al., J. Electrochem. Soc. 168 (2021) 040537	minnmann2021_jes	V	실험이 못 주는 것 (EIS 한 숫자 등)	C	—	ed29d5715
G1s-4	1d	build.js:175 (슬라이드 4)	Cundall & Strack, Géotechnique 29 (1979) 47 · Sulsky et al., CMAME 118 (1994) 179	없음	V (검색 — Sulsky, Chen, Schreyer, CMAME 118, 179–196)	DEM·MPM 정의	C	—	ed29d5715
G1s-5	1d	build.js:199 (슬라이드 5)	Minnmann et al., JES 168 (2021) 040537 (calibration anchor)	minnmann2021_jes	V	"ONE calibration point: porosity of pure SE pressed at 300 MPa ≈ 10 % (measured)"	M	카드: "이 논문은 pure-SE porosity를 별도 측정하지 않는다 — 14 %는 복합 양극 값" (감사 A MI-2, C A1)	ed29d5715 2026-08-06
G1s-7	1d	build.js:259 (슬라이드 7)	Minnmann et al., JES 168 (2021) 040537	minnmann2021_jes	V	"each calibrated only to the same single experiment" (DEM·MPM 이 같은 실험 하나에 보정)	M	그 "단일 실험" 이 위의 10 % — 실험 아님. 같은 슬라이드의 "converged constitutive difference" 는 CLAUDE.md 2026-08-12 정정 (관례 오프셋 1.251 %p) 으로 철회된 해석	ed29d5715
G1s-8	1d	build.js:285 (슬라이드 8)	Furnas, Ind. Eng. Chem. 23 (1931) · experiment: this lab	없음	V (감사 C: DOI ie50261a017 = Furnas 1931)	이성분 충전 dip · "Experiment" 계열 (23.9/21.3/20.3/19.8/25.4 %)	U	실험 계열은 "this lab" — 원자료가 리포에 없다	ed29d5715
G1s-9	1d	build.js:323 (슬라이드 9)	Bazzoun et al., J. Power Sources 661 (2026) 238682 · Holm, Electric Contacts (1967)	bazzoun2026_dem_fem_rnm_ionic	V	"Bazzoun applied the same material, the same DEM code, and **the same resistor-network method** … network ≈ FEM ≈ experiment, and 32–98× faster … our methodology was validated by someone else"	P	카드: 32–98× V, 소재·코드 V. 그러나 RNM 은 고-CAM 에서 실험보다 과소 (80 wt% RNM 0.031 ≪ exp 0.065) — "≈ experiment" 는 70 wt% 에서만. 슬라이드가 묘사하는 우리 망은 0.4 µm **복셀** 망인데 Bazzoun 은 **접촉** 저항망 (원장 CL-81: 복셀 FV 는 접촉망의 CONTACT_FREE 가지) — "same method" 불성립	ed29d5715
G1s-10	1d	build.js:354 (슬라이드 10)	Bruggeman, Ann. Phys. 416 (1935) · Holm (1967) · Trevisanello, AEM 11 (2021) 2003400	trevisanello2021 (Bruggeman·Holm 카드 없음)	V	표: "ε_AM^a a = 4 — Stauffer–Bruggeman" · "√A 0.5 — Holm 1967" · "NCM(r)^β β = 1.5 — Trevisanello 2021" · "exponents taken from the literature and held fixed"	M · C · M	Trevisanello 는 σ_e 를 재지 않았다 (β 없음; 감사 B ④). 지수 4 는 교과서값이 아니다 (구형 Bruggeman 3/2, 3D 퍼콜레이션 전도 지수 t ≈ 2 — 카드 없이 고전값으로 판단)	ed29d5715
G1s-11	1d	build.js:393 (슬라이드 11)	Bruggeman, Ann. Phys. 416 (1935) 636	없음	V	열전도 EMT 기준선	C	—	ed29d5715
G1s-12	1d	build.js:418 (슬라이드 12)	Bard & Faulkner, Electrochemical Methods (2001) — Butler–Volmer	없음	V (교과서)	BV 동역학	C	(슬라이드 본문 수치는 CL-24 철회값 — 덱 가드·배너 있음)	ed29d5715
G1s-14	1d	build.js:492 (슬라이드 14)	Bucci et al., J. Mater. Chem. A (2017) · Yun et al., Energy Storage Mater. (2023)	bucci2017_… · yun2023_…	V	"Yun 2023 (this lab) R_ct 2.87× @100 cyc"	V	yun2023 카드: NCM–LPSCl R_int 341.7 → 982.3 Ω·cm² (2.87×)	ed29d5715
G1s-A	1d	build.js:625 (부록 A)	Sakuda et al., Sci. Rep. 3 (2013) 2261 · Cronau et al., ACS Energy Lett. 6 (2021) 3072	sakuda2013 · cronau2021	V	① "Real bulk LPSCl E = 24 GPa (Young) — E from literature" ② "pure-SE contact overlap 11–12 % is reproduced (Cronau)" ③ "experimental porosity" ④ "6.5× softer than the single crystal"	①M ②M ③M ④U	① 유리값 (SA-2) ② Cronau 2021 은 적층압–σ 논문, 겹침 항목 없음; 11–12 % 는 우리 순수-SE DEM 결과 (감사 C B6) ③ 10 % (위) ④ "단결정 σ_y 300 MPa" 의 출처가 리포에 없다	ed29d5715
G1s-B	1d	build.js:645–656 (부록 B 용어표)	Cundall & Strack 1979 · Sulsky et al. 1994 · Holm 1967 · Maxwell 1873 · Tabor 1948 · Stauffer & Aharony · Bard & Faulkner · Yun et al. 2023	yun2023 (나머지 카드 없음)	V/C	용어 정의용 대표 문헌	C	Maxwell 1873 (협착저항) · Tabor 1948 (A = F/H) 는 방법 인용	ed29d5715
G2-1	2	CLAUDE.md:1544	Bazzoun et al., J. Power Sources 661	bazzoun2026_dem_fem_rnm_ionic	V	문헌 절 서지	V	카드 own DOI 10.1016/j.jpowsour.2025.238682 · JPS 661 (2026) 238682	
G2-2	2	CLAUDE.md:250 · :756 · scripts/mpm_input_from_case.py:1027 · scripts/mpm_webapp_payload.py:1995	"Joule" (줄 발열)	—	—	—	FP	저널 정규식 오탐 (Joule 발열맵·집중) — 인용 아님	
G2-3	2	scripts/litdb_promote.py:347	DOI 10.0000/selftest	—	—	—	FP	셀프테스트 고정물	
G2-4	2	GB_correction_fitting_report.md:352 · :876	Minnmann, P. et al. (2021). J. Electrochem. Soc. (DOI 10.1149/1945-7111/abf8d7) — "Effective conductivity in ASSB"	minnmann2021_jes	V	참고문헌 목록	V	—	
G2-5	2	GB_correction_fitting_report.md:353 · :877 (+ 본문 :319)	Sadowski, M. et al. (2024). Adv. Mater. Interfaces (DOI 10.1002/admi.202400423) — "Argyrodite GB (AIMD)"	없음	V (검색 — Sadowski & Albe, AMI 11, 2400423)	"최근 AIMD (Sadowski, 2024) … argyrodite pellet 내에서도 유의미한 GB 효과"	B	검색 요약: 대상은 **Li₆PS₅Br** 입계 (방위·음이온 무질서) — LPSCl 로 옮길 때 한정 필요	
G2-6	2	GB_correction_fitting_report.md:880	Ketter, L. et al. (2025). Nature Communications (DOI 10.1038/s41467-025-56514-5)	ketter2025_resistor_network_models_predict_transport_properties	V	"Resistor Network for SSB"	V	— (같은 파일 :1069 의 "Ketter, F. … Thermal conductivity of LPSCl argyrodite" 는 감사 A 에서 F — 저자-연도가 있어 인벤토리가 봤다)	
G2-7	2	GB_correction_fitting_report.md:881	Minnmann, P. et al. (2024). JES (DOI 10.1149/1945-7111/ad510e)	minnmann2024_microstructure_porosity_visualization	V	"Composite cathode microstructure"	V	—	
G2-8	2	GB_correction_fitting_report.md:1067 · docs/electronic_conductivity_derivation.md:351	Ebner, Chung, Garcia, Wood (**2013**). Adv. Energy Mater. 4, 1301278	없음	M (서지 연도 — 실제 2014, 4(5) 1301278; 검색)	τ 이방성 참고	B	—	
G2-9	2	GB_correction_fitting_report.md:1068 (+ :908) · docs/electronic_conductivity_derivation.md:350 · docs/thermal_conductivity_derivation.md:299	Makse, Gland, Johnson, Schwartz (2004). Phys. Rev. E 70, 061302	없음	V (검색)	":908 Makse (2004) 유사: K,G ∝ Z²"	B	검색 요약: 압력 의존 탄성률·EMT 이탈 — "∝ Z²" 는 미확인	
G2-10	2	dem_scripts/oat_sweep/README.md:9 (+ :8)	Coetzee, Powder Technol. 310 (2017) 104–142	coetzee2017_dem_calibration_review	V	bulk calibration approach · 같은 문단 ":8 Minnmann pure-SE ~10 % @ 300 MPa"	V · M	Coetzee V (감사 D #68). 옆 줄의 10 % 는 감사 A MI-2 · C A1 과 같은 M	—
G2-11	2	scripts/additives.py:58 · :299 · :914	#275 koo2026, Joule 10:102392	koo2026_swcnt_sheath_thick_electrode	V	A14 SWCNT 표면 sheath (vein-like · ζ −1.9 mV · Fig S30 BET → 번들 22–47 nm)	V	카드 own DOI · 감사 D #55 V; BET 산술은 원장 CL (koo2026 SI Fig S30, "우리 산술") 로 이미 표지	
G2-12	2	scripts/cam_kinetics.py:16 · :76	Kim, Kang, Park, Lee — Electrochim. Acta 542 (2025) 147413, Table S6 (+ Table S4)	kim2025_impedance_decoupling_tlm_assb	V	R_ct 289.9 / 139.6 / 67.8 Ω·cm² @30/45/60 °C (72:27:1, uncoated) · LNO 22.4 / 8.7 / 7.6	V	카드 L107–108 (Table S6) · Table S4 45/60 °C 행 (8.7 · 7.6) · 조성 L77	
G2-13	2	scripts/fracture_model.py:46	Xu 2017, J. Electrochem. Soc. 164, A3333 (NMC532 nanoindentation; the old 'Phys. Rev. X 7, 041038' was wrong)	xu2017_nmc532_nanoindentation_modulus_hardness_toughness	V	모듈 참고문헌 목록	V	바로 위 줄의 Liu 2020 "Nat. Energy 5, 304" · Quinn 2020 "Joule 4, 2466" 은 저자-연도라 감사 B (F) 가 봤다	
G2-14	2	scripts/fracture_model.py:48	Sedlatschek et al., J. Power Sources 681 (2026) 240276, "value pending PDF check"	sedlatschek2026_…	V	NCM811 E 출처	V	⚠ "pending PDF check" 는 낡았다 — 카드가 138 ± 24 GPa 확인 (09-25)	
G2-15	2	scripts/grade_engine.py:1622	"Carbon black bulk σ ≈ 100–1000 S/cm" (+ t ≈ 2.0 Kirkpatrick 1973)	없음	—	카본블랙 벌크 σ	U	저널 정규식 오탐 ("Carbon") 이나 **값 자체가 출처 없음**; Kirkpatrick 은 방법 인용 (C)	
G2-16	2	scripts/predict_porosity_strict_physics.py:25	[2] Bouvard, Powder Technol. 111 (2000) 231 / Mech. Mater.	bouvard2000_hard_soft_powder_densification	P (서지 — PT 111 은 맞고 "/ Mech. Mater." 가 refs.bib 의 틀린 학술지를 병기)	경상 골격 0.30	M	감사 C D3·D4	
G2-17	2	scripts/predict_porosity_strict_physics.py:31	[4] Henkes, O'Hern & Behringer, Phys. Rev. Lett. 95	없음	M (서지 혼합 — PRL 95, 198002 = Henkes & Chakraborty)	force-chain 퍼콜레이션 "≈40 % 입자가 ≈80 % 하중"	U	감사 C D7	4af41f62d 2026-05-13
G2-18	2	scripts/predict_porosity_yu_standish.py:23	[Stovall] Stovall, de Larrard, Buil. Powder Technol. 48 (1986) 1	없음	V (검색 — "Linear packing density model of grain mixtures", PT 48, 1–12)	LPDM 방법	C	—	
G2-19	2	scripts/build_tau_regime_db.py:229 · scripts/compare_hertzian_vs_physics.py:119 · scripts/plot_tau_regime_si.py:110	"Dewald 2021 … Minnmann 과 같은 논문 (DOI abf8d7 동일) ⇒ 이중계상"	minnmann2021_jes	V	감사 메모 (GAP3-37)	V	메모 자체가 옳다 — 같은 오귀속이 rint_anchor_db_research.md:58 · rint_eis_anchors.csv 에 아직 살아 있다 (§3·§4)	
G2-20	2	scripts/cycle_degradation_law.py:120	Yun 2023 EnSM 10.1016/j.ensm.2023.102787 TableS1 · shape = Park 2023 AEM 10.1002/aenm.202203861	yun2023_… (Park 2023 카드 없음)	V · V (검색)	R_ct 341.7 → 982.3 (2.87×) · "coated/additive interphase = linear-√t"	V · B	yun2023 카드 L128–129. Park et al. 2023 AEM 13 (LiDFBOP CEI, Li₆PS₅Cl) 실재 — √t 형상 주장은 미확인	
G3-hdr01	3	docs/data/bucci2017_fracture_czm.csv:1	Bucci, Swamy, Chiang, Carter, JMCA 2017, 5, 19422–19430 (DOI c7ta03199h)	bucci2017_chemomech_failure_assb_cycling_czm	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr02	3	docs/data/bucci2018_delamination.csv:1	Bucci et al., Phys. Rev. Materials 2, 105407 (2018)	bucci2018_mechanical_instability_interface_delamination	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr03	3	docs/data/chen2011_percolation_micromodel.csv:1	Chen, Lu, Li, Yu, Kong, Zhu, JPS 196 (2011) 3178–3185	chen2011_percolation_micromodel_composite_electrode	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr04	3	docs/data/interfacial_impedance_formulation.csv:1–2	Choi, Ku, Kim, Gwon, Yoon, Yu, Kim, ACS AMI 16 (2024) 26066–26078 (DOI acsami.4c01322)	interfacial_impedance_formulation_assb_cathode	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr05	3	docs/data/kim2025_tlm_kinetics_anchors.csv:1	Kim, Kang, Park, Lee, Electrochim. Acta 542 (2025) 147413	kim2025_impedance_decoupling_tlm_assb	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr06	3	docs/data/minnmann2021_sigma_tau_porosity.csv:2	Minnmann et al., JES 168 (2021) 040537	minnmann2021_jes_charge_transport_bottlenecks	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr07	3	docs/data/mun2025_dry_electrode_cell_table.csv:2	Mun et al., Adv. Mater. 2025, 37, 2506123	mun2025_dry_electrode_technology_assb_review	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr08	3	docs/data/schneider2023_sigma_size_pressure.csv:1	Schneider et al., AEM 13, 2203873 (2023)	schneider2023_particle_size_pressure_transport	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr09	3	docs/data/shi2019_am_loading.csv:1 · :21	Shi, Tu, Tian, Xiao, Miara, Kononova, Ceder, AEM 2020, 10, 1902881 (online 2019-12-03)	shi2019_high_am_loading_particle_size_assb (SI 보강 cde9043d6 09-26)	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr10	3	docs/data/tailored_cathode_low_pressure.csv:1	Zhou et al., ACS Energy Lett. 2025, 10, 966–974 (DOI 4c03256)	tailored_cathode_microstructure_low_pressure_assb	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr11	3	docs/data/bielefeld2019_percolation.csv:1	Bielefeld, Weber, Janek, JPCC 2019, 123, 1626–1634	bielefeld2019_microstructural_modeling_composite_cathode	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr12	3	docs/data/dem_cycling_stresses.csv:4	DOI 10.1016/j.ensm.2024.103527 (Franco group …)	dem_mechanical_stresses_ssb_electrode_cycling	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr13	3	docs/data/deysher2022_review_anchors.csv:2	Deysher, Ridley, … Meng, Mater. Today Phys. 24 (2022) 100679	deysher2022_transport_mechanical_aspects_assb_review	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr14	3	docs/data/duquesnoy2023_manufacturing_optimization.csv:1	Duquesnoy et al., ENSM 56 (2023) 50–61	duquesnoy2023_ml_multiobjective_manufacturing_optimization	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr15	3	docs/data/jacksongreen2005_evolving_hardness_contact.csv:3	DOI 10.1115/1.1866166	jacksongreen2005_fem_elastoplastic_hemispherical_contact	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr16	3	docs/data/kim2023_chemomech_failure_highstrain_anode.csv:1	Kang, Shin et al., ENSM 63 (2023) 103049	kim2023_chemomech_failure_highstrain_anode	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr17	3	docs/data/kim2024_carbon_volumetric_occupation_se_domain.csv:1	Kim et al., AFM 2024, 34, 2409318	kim2024_carbon_volumetric_occupation_se_domain	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr18	3	docs/data/mesarovicfleck2000_dissimilar_elastoplastic_indentation.csv:3	DOI 10.1016/S0020-7683(99)00328-5	mesarovicfleck2000_dissimilar_elastoplastic_indentation	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr19	3	docs/data/nisar2024_sigma_porosity.csv:2	Nisar et al., Comp. Part. Mech. 11 (2024) 2191–2201	nisar2024_dem_effective_electrical_conductivity_sps	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr20	3	docs/data/sangros2020_electrical_paths.csv:1	Sangros Gimenez et al., Chem. Eng. Technol. 43 (2020) 819–829	sangros2020_dem_electrical_conductive_paths_assb	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-hdr21	3	docs/data/storakers1997_similarity_inelastic_contact.csv:3	DOI 10.1016/S0020-7683(96)00176-X	storakers1997_similarity_inelastic_contact	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
