status	author	year	n_occ	n_files	areas	canon_cards	numbers_on_same_lines
NO_CARD	Parks	2023	1	1	docs:1		
NO_CARD	Doerrer	2021	1	1	docs:1		
NO_CARD	Mayer	2022	1	1	docs:1		
NO_CARD	Frontiers	2023	1	1	docs:1		
NO_CARD	Tech	2024	1	1	docs:1		
NO_CARD	Sources	2025	1	1	docs:1		
NO_CARD	UNCHANGED	2026	1	1	docs:1		
NO_CARD	Schwartz	2004	1	1	docs:1		
NO_CARD	SOLUTION	2026	1	1	docs:1		
NO_CARD	Received	2018	1	1	docs:1		
NO_CARD	Revised	2018	1	1	docs:1		
NO_CARD	Published	2018	1	1	docs:1		
NO_CARD	GeoDict	2018	1	1	docs:1		
NO_CARD	Accepted	2020	1	1	docs:1		
NO_CARD	Published	2020	1	1	docs:1		
NO_CARD	Froboese	2019	1	1	docs:1		
NO_CARD	GeoDict	2019	1	1	docs:1		
NO_CARD	Shi	2020	1	1	docs:1		
NO_CARD	Letters	2024	1	1	docs:1		
NO_CARD	Energy	2018	1	1	docs:1		
NO_CARD	Accepted	2021	1	1	docs:1		
NO_CARD	Zeier	2020	1	1	docs:1		
NO_CARD	Revised	2019	1	1	docs:1		
NO_CARD	Amira	2019	1	1	docs:1		
NO_CARD	Copyright	2020	1	1	docs:1		
NO_CARD	CNT-wrapping	2025	1	1	docs:1		
NO_CARD	Rabbani	2014	1	1	docs:1		
NO_CARD	Published	2023	1	1	docs:1		
NO_CARD	Accepted	2025	1	1	docs:1		
NO_CARD	Published	2022	1	1	docs:1		
NO_CARD	Han	2021	1	1	docs:1		
NO_CARD	MPa	2021	1	1	docs:1		300 MPa×1
NO_CARD	Revised	2020	1	1	docs:1		
NO_CARD	Published	2021	1	1	docs:1		
NO_CARD	Zhang	2017	1	1	docs:1		
NO_CARD	Jackson	2017	1	1	docs:1		
NO_CARD	Stuart	2008	1	1	docs:1		
NO_CARD	Nkulikiyimfura	2012	1	1	docs:1		
NO_CARD	Laenerts	2009	1	1	docs:1		
NO_CARD	Imhsen	2013	1	1	docs:1		
NO_CARD	Chang	2012	1	1	docs:1		
NO_CARD	Miller	1989	1	1	docs:1		
NO_CARD	Bell	2005	1	1	docs:1		
NO_CARD	Milenkovic	1996	1	1	docs:1		
NO_CARD	Mazhar	2015	1	1	docs:1		
NO_CARD	Yasuda	2008	1	1	docs:1		
NO_CARD	Yue	2015	1	1	docs:1		
NO_CARD	Ram	2015	1	1	docs:1		
NO_CARD	Cummins	2002	1	1	docs:1		
NO_CARD	Sumner	1999	1	1	docs:1		
NO_CARD	Li	1993	1	1	docs:1		
NO_CARD	Chen	2013	1	1	docs:1		
NO_CARD	Pla-Castells	2006	1	1	docs:1		
NO_CARD	Steffen	2008	1	1	docs:1		
NO_CARD	Wood	2008	1	1	docs:1		
NO_CARD	Gast	2015	1	1	docs:1		
NO_CARD	Singer	2023	1	1	docs:1		
NO_CARD	Dec	2025	1	1	docs:1		
NO_CARD	Created	2026	1	1	docs:1		
NO_CARD	Samsung	2024	1	1	docs:1		
NO_CARD	Franco	2024	1	1	docs:1		
NO_CARD	Etsion	2002	1	1	docs:1		
NO_CARD	Accepted	2024	1	1	docs:1		
NO_CARD	STATUS	2026	1	1	docs:1		
NO_CARD	Jain	2011	1	1	docs:1		
NO_CARD	CORRECTIONS	2026	1	1	docs:1		
NO_CARD	PROGRESS	2026	1	1	docs:1		
NO_CARD	CONFIRMED	2026	1	1	docs:1		
NO_CARD	GPU-CONFIRMED	2026	1	1	docs:1		
NO_CARD	Joule	2022	1	1	docs:1		
NO_CARD	Boyce	2022	1	1	docs:1		0.5 MPa×1
NO_CARD	Ge	2021	1	1	docs:1		
NO_CARD	McClelland	2023	1	1	docs:1		
NO_CARD	Kloss	2012	1	1	docs:1		
NO_CARD	Thorpe	2009	1	1	docs:1		
NO_CARD	Chakraborty	2005	1	1	docs:1		
NO_CARD	Eyre	1999	1	1	docs:1		
NO_CARD	Brisard	2010	1	1	docs:1		
NO_CARD	Storåkers-Fleck-McMeeking	2000	1	1	docs:1		
NO_CARD	Worlds	1991	1	1	docs:1		
NO_CARD	Grieves	2000	1	1	docs:1		
NO_CARD	Energy	2026	1	1	docs:1		
NO_CARD	Yovanovich	1998	1	1	docs:1		
NO_CARD	Kogut	2002	1	1	docs:1		
NO_CARD	Pantaleev	2017	1	1	docs:1		
NO_CARD	Sources	2022	1	1	docs:1		
NO_CARD	Sources	2020	1	1	docs:1		
NO_CARD	Sedlatschek	2026	1	1	docs:1		
NO_CARD	CORRECTED	2026	1	1	docs:1		
NO_CARD	Sources	2024	1	1	docs:1		
NO_CARD	Naik	2025	1	1	docs:1		
NO_CARD	Chem	2025	1	1	docs:1		
NO_CARD	O'Kane	2022	1	1	docs:1		
NO_CARD	Springer	1967	1	1	docs:1		
NO_CARD	Wiley	2001	1	1	docs:1		
NO_CARD	Tech	2025	1	1	docs:1		
NO_CARD	Vu-Quoc	2001	1	1	docs:1		
NO_CARD	Brodu	2015	1	1	docs:1		
NO_CARD	Harthong	2009	1	1	docs:1		
NO_CARD	Lew	2015	1	1	docs:1		
NO_CARD	Jung	2022	1	1	docs:1		
NO_CARD	Tron	2023	1	1	docs:1		
NO_CARD	Chiang	2016	1	1	docs:1		
NO_CARD	Endo	2001	1	1	docs:1		
NO_CARD	Doyle-Fuller-Newman	1993	1	1	docs:1		
NO_CARD	Marquis	2019	1	1	docs:1		
NO_CARD	Sulzer	2021	1	1	docs:1		
NO_CARD	Grey	2019	1	1	docs:1		
NO_CARD	Anseán	2022	1	1	docs:1		
NO_CARD	Seok	2026	1	1	docs:1		
NO_CARD	Dauphin	2014	1	1	machine-learning:1		
NO_CARD	Polyak	1964	1	1	machine-learning:1		
NO_CARD	ILSVRC	2012	1	1	machine-learning:1		
NO_CARD	Aligned	2026	1	1	scripts:1		
NO_CARD	RETIRED	2026	1	1	scripts:1		10 µm×1
NO_CARD	Severson-MIT-Toyota	2019	1	1	scripts:1		
NO_CARD	Attia	2020	1	1	scripts:1		
NO_CARD	PREFERRED	2026	1	1	scripts:1		
NO_CARD	CHECK	2026	1	1	scripts:1		
NO_CARD	Bi	2020	1	1	scripts:1		
NO_CARD	Powell	1979	1	1	scripts:1		
NO_CARD	Apr-	2026	1	1	scripts:1		
NO_CARD	CORRECTION	2026	1	1	scripts:1		
NO_CARD	Yoon	2025	1	1	scripts:1		
NO_CARD	Zeier	2023	1	1	scripts:1		0.1 mS/cm×1
NO_CARD	Mukhopadhyay	2014	1	1	scripts:1		
NO_CARD	ScienceDirect	2021	1	1	scripts:1		
NO_CARD	LOGIC	2026	1	1	scripts:1		
NO_CARD	ADAPTIVE	2026	1	1	scripts:1		
NO_CARD	Excluded	2026	1	1	scripts:1		
NO_CARD	ATTRIBUTION	2026	1	1	scripts:1		
NO_CARD	McMeeking	1999	1	1	scripts:1		
NO_CARD	Yu	1987	1	1	scripts:1		
NO_CARD	Sridhar-Fleck-McMeeking	2000	1	1	scripts:1		
NO_CARD	Scher	1970	1	1	scripts:1		
NO_CARD	Yu-Zou-Standish	1996	1	1	scripts:1		
NO_CARD	Yu	1991	1	1	scripts:1		
NO_CARD	Yu	1996	1	1	scripts:1		
NO_CARD	Heenan	2020	1	1	scripts:1		
NO_CARD	Grain	2024	1	1	scripts:1		
NO_CARD	Trevisanello	2026	1	1	scripts:1		
NO_CARD	CODATA	2018	1	1	scripts:1		
NO_CARD	Contacts	1967	1	1	scripts:1		
NO_CARD	Methods	2001	1	1	scripts:1		
NO_CARD	Aug	2026	1	1	scripts:1		
NO_CARD	Cundall	1979	1	1	scripts:1		
NO_CARD	Mo	2018	1	1	tools:1		
NO_CARD	SUPPRESSION	2026	1	1	webapp:1		
NO_CARD	STRIP	2026	1	1	webapp:1		
NO_CARD	MERGE	2026	1	1	webapp:1		
NO_CARD	Clausnitzer	2023	1	1	webapp:1		
NO_CARD	Rosner	2026	1	1	webapp:1		
NO_CARD	Newman	1962	1	1	webapp:1		
NO_CARD	Newman	1994	1	1	webapp:1		
NO_CARD	Sakuda	2017	1	1	webapp:1		
NO_CARD	CHANGED	2026	1	1	webapp:1		0.50 eV×1
