t_ps,T_K,T_set_K,density_g_cm3,volume_A3,E_pot_eV,P_GPa,P_virial_GPa
328.000,937.7,972.0,1.3844,10671.50,-1615.0862,0.0196,-0.4657
329.000,975.0,971.0,1.3831,10681.92,-1617.8427,0.1744,-0.3296
330.000,918.2,970.0,1.3855,10663.23,-1615.7973,0.1452,-0.3304
331.000,987.4,969.0,1.3872,10650.16,-1618.4851,-0.0323,-0.5444
332.000,976.7,968.0,1.3902,10627.15,-1618.5662,-0.0133,-0.5209
333.000,932.2,967.0,1.3906,10623.99,-1618.2659,0.0098,-0.4747
334.000,990.0,966.0,1.3872,10650.33,-1621.1677,-0.2352,-0.7485
335.000,922.0,965.0,1.3854,10664.00,-1618.3113,0.1281,-0.3494
336.000,961.1,964.0,1.3859,10660.21,-1618.5155,0.1380,-0.3598
337.000,958.9,963.0,1.3890,10636.42,-1617.0977,0.0981,-0.3998
338.000,927.5,962.0,1.3912,10619.16,-1616.7575,-0.0760,-0.5584
339.000,950.0,961.0,1.3854,10663.56,-1616.2190,0.2569,-0.2351
340.000,1024.6,960.0,1.3911,10620.40,-1620.2357,-0.1672,-0.7000
341.000,937.6,959.0,1.3996,10556.03,-1617.4694,-0.0800,-0.5705
342.000,976.4,958.0,1.4015,10541.31,-1619.6294,-0.0245,-0.5361
343.000,966.1,957.0,1.4001,10552.28,-1618.3747,0.0353,-0.4704
344.000,977.0,956.0,1.3930,10605.52,-1623.3409,0.0498,-0.4589
345.000,931.0,955.0,1.3928,10607.42,-1618.5131,-0.0078,-0.4925
346.000,971.3,954.0,1.3971,10574.54,-1619.2390,-0.1613,-0.6685
347.000,908.2,953.0,1.4018,10539.07,-1616.5534,-0.0459,-0.5218
348.000,934.2,952.0,1.3982,10566.37,-1618.8183,0.0104,-0.4779
349.000,987.2,951.0,1.3985,10563.97,-1622.8722,-0.0818,-0.5978
350.000,945.3,950.0,1.3985,10564.22,-1620.7073,0.0137,-0.4805
351.000,981.7,949.0,1.4034,10527.00,-1621.5829,0.0882,-0.4269
352.000,975.3,948.0,1.4010,10544.86,-1621.6755,0.0794,-0.4314
353.000,917.7,947.0,1.3992,10558.53,-1617.2717,-0.0958,-0.5758
354.000,970.4,946.0,1.3998,10554.10,-1620.0423,-0.0043,-0.5121
355.000,931.9,945.0,1.4054,10512.09,-1618.8899,-0.3905,-0.8801
356.000,949.3,944.0,1.4065,10503.60,-1619.4155,-0.4087,-0.9078
357.000,925.6,943.0,1.4106,10473.27,-1619.7332,-0.2583,-0.7464
358.000,908.7,942.0,1.4117,10465.33,-1618.3666,-0.4096,-0.8891
359.000,973.3,941.0,1.4095,10481.72,-1621.9305,0.2443,-0.2685
360.000,944.5,940.0,1.4067,10502.73,-1621.1421,0.0396,-0.4570
361.000,941.1,939.0,1.4082,10491.51,-1624.1708,0.0895,-0.4059
362.000,1005.6,938.0,1.4062,10506.35,-1623.1209,0.5178,-0.0107
363.000,941.4,937.0,1.3979,10568.55,-1619.5494,0.4740,-0.0179
364.000,924.5,936.0,1.3961,10582.08,-1620.3564,-0.0631,-0.5456
365.000,935.4,935.0,1.3953,10587.88,-1621.6830,0.0314,-0.4565
366.000,942.6,934.0,1.3990,10559.89,-1621.5211,0.1275,-0.3655
367.000,960.0,933.0,1.3964,10580.10,-1622.3285,-0.1779,-0.6790
368.000,939.2,932.0,1.3947,10592.42,-1621.8563,0.0881,-0.4016
369.000,976.9,931.0,1.3954,10587.53,-1625.1985,0.2383,-0.2713
370.000,839.8,930.0,1.3963,10580.38,-1616.7775,-0.2986,-0.7369
371.000,927.7,929.0,1.4040,10522.67,-1620.6203,0.1983,-0.2886
372.000,911.6,928.0,1.4036,10525.81,-1619.1619,-0.1177,-0.5960
373.000,917.3,927.0,1.4028,10531.35,-1621.8616,0.1124,-0.3686
374.000,913.2,926.0,1.4040,10522.28,-1622.5925,0.5661,0.0868
375.000,959.6,925.0,1.4008,10546.80,-1623.2584,-0.0154,-0.5178
376.000,919.2,924.0,1.4061,10507.01,-1622.7689,0.0542,-0.4289
377.000,933.6,923.0,1.4070,10499.92,-1622.5300,0.0132,-0.4778
378.000,909.4,922.0,1.4107,10472.45,-1622.8038,0.2172,-0.2624
379.000,980.4,921.0,1.4075,10496.29,-1625.9080,-0.0970,-0.6128
380.000,927.8,920.0,1.4087,10487.48,-1625.5569,-0.0901,-0.5787
381.000,924.9,919.0,1.4176,10421.40,-1622.1794,0.0407,-0.4494
382.000,900.6,918.0,1.4236,10377.79,-1621.9923,0.1691,-0.3102
383.000,946.4,917.0,1.4223,10387.44,-1625.0131,-0.1676,-0.6708
384.000,941.2,916.0,1.4248,10368.89,-1625.5484,-0.0396,-0.5409
385.000,868.4,915.0,1.4305,10327.83,-1620.7376,-0.1226,-0.5870
386.000,925.6,914.0,1.4327,10311.60,-1623.1288,0.0477,-0.4481
387.000,891.3,913.0,1.4324,10313.75,-1621.4194,-0.0356,-0.5128
388.000,886.9,912.0,1.4323,10314.72,-1621.8312,-0.0358,-0.5106
389.000,938.2,911.0,1.4294,10335.39,-1624.2839,-0.1091,-0.6104
390.000,891.5,910.0,1.4310,10323.91,-1622.2652,0.1911,-0.2857
391.000,899.6,909.0,1.4284,10343.11,-1622.3109,-0.0310,-0.5114
392.000,880.8,908.0,1.4214,10393.80,-1621.4601,-0.2097,-0.6777
393.000,902.7,907.0,1.4201,10403.01,-1623.3304,0.1314,-0.3478
394.000,896.6,906.0,1.4170,10425.75,-1623.3423,0.0418,-0.4331
395.000,894.2,905.0,1.4186,10414.45,-1621.6681,0.1026,-0.3716
396.000,897.2,904.0,1.4204,10401.12,-1623.1228,-0.1326,-0.6090
397.000,861.1,903.0,1.4240,10374.73,-1620.5385,-0.0559,-0.5143
398.000,936.4,902.0,1.4223,10387.08,-1625.5078,-0.0459,-0.5437
399.000,906.9,901.0,1.4203,10401.86,-1623.7483,-0.0233,-0.5047
400.000,923.4,900.0,1.4181,10417.80,-1624.3818,-0.0784,-0.5679
401.000,871.2,899.0,1.4204,10401.47,-1623.6318,0.4285,-0.0341
402.000,892.2,898.0,1.4220,10389.57,-1622.3004,-0.1649,-0.6392
403.000,898.0,897.0,1.4235,10378.69,-1623.0402,0.1253,-0.3526
404.000,908.9,896.0,1.4249,10368.24,-1625.5929,-0.2236,-0.7077
405.000,886.1,895.0,1.4258,10361.86,-1624.1806,-0.2850,-0.7573
406.000,916.0,894.0,1.4296,10334.37,-1625.4157,-0.0539,-0.5434
407.000,835.1,893.0,1.4314,10321.46,-1621.9438,0.1212,-0.3256
408.000,899.3,892.0,1.4319,10317.47,-1624.0469,0.1099,-0.3715
409.000,913.4,891.0,1.4335,10305.75,-1624.8686,0.1653,-0.3242
410.000,880.4,890.0,1.4311,10323.69,-1623.8029,-0.1043,-0.5753
411.000,925.3,889.0,1.4310,10324.30,-1627.2447,-0.1319,-0.6269
412.000,941.3,888.0,1.4308,10325.42,-1627.8298,-0.1149,-0.6183
413.000,884.7,887.0,1.4299,10332.26,-1625.1302,-0.0620,-0.5349
414.000,886.2,886.0,1.4252,10365.77,-1625.6375,0.2153,-0.2568
415.000,869.3,885.0,1.4231,10381.53,-1624.5765,-0.2054,-0.6679
416.000,914.3,884.0,1.4235,10378.71,-1628.1063,0.0344,-0.4521
417.000,878.0,883.0,1.4279,10346.15,-1624.4568,0.4071,-0.0615
418.000,851.4,882.0,1.4277,10348.12,-1622.9910,0.0022,-0.4522
419.000,895.6,881.0,1.4266,10355.88,-1625.5489,-0.0494,-0.5270
420.000,889.6,880.0,1.4244,10372.21,-1626.7974,-0.0188,-0.4925
421.000,870.0,879.0,1.4227,10384.23,-1624.4077,-0.1641,-0.6268
422.000,805.1,878.0,1.4260,10359.94,-1620.3749,-0.1239,-0.5531
423.000,868.5,877.0,1.4284,10343.00,-1623.2179,-0.2143,-0.6780
424.000,875.6,876.0,1.4330,10309.76,-1623.9443,-0.2017,-0.6707
425.000,869.6,875.0,1.4348,10296.93,-1626.2538,-0.1517,-0.6181
426.000,862.3,874.0,1.4312,10322.80,-1624.5031,0.1657,-0.2957
427.000,854.2,873.0,1.4251,10366.76,-1626.3075,0.0722,-0.3829
428.000,863.0,872.0,1.4260,10360.25,-1624.8349,0.1139,-0.3462
429.000,868.8,871.0,1.4285,10342.02,-1626.5221,-0.0304,-0.4944
430.000,828.4,870.0,1.4302,10330.00,-1625.3570,0.3339,-0.1090
431.000,866.1,869.0,1.4305,10327.80,-1625.5660,0.0269,-0.4363
432.000,885.2,868.0,1.4301,10330.43,-1627.1901,0.2987,-0.1745
433.000,842.1,867.0,1.4299,10331.81,-1623.8924,-0.5045,-0.9546
434.000,867.7,866.0,1.4316,10319.99,-1625.1797,-0.0501,-0.5144
435.000,912.7,865.0,1.4300,10331.55,-1627.9043,-0.2567,-0.7446
436.000,872.1,864.0,1.4256,10363.50,-1625.7248,0.1096,-0.3551
437.000,905.2,863.0,1.4158,10435.17,-1627.5223,0.2990,-0.1800
438.000,852.4,862.0,1.4107,10472.43,-1626.1365,0.1309,-0.3186
439.000,884.8,861.0,1.4131,10455.17,-1628.6015,-0.0209,-0.4883
440.000,889.0,860.0,1.4141,10447.82,-1626.7378,0.2745,-0.1954
441.000,917.2,859.0,1.4137,10450.44,-1628.6159,-0.0835,-0.5682
442.000,859.5,858.0,1.4154,10438.15,-1625.3360,-0.0439,-0.4986
443.000,874.2,857.0,1.4115,10466.56,-1627.9592,0.0460,-0.4153
444.000,831.9,856.0,1.4077,10495.32,-1626.1282,-0.0077,-0.4454
445.000,846.6,855.0,1.4111,10469.54,-1626.3284,0.0021,-0.4445
446.000,836.1,854.0,1.4149,10441.92,-1624.6837,-0.1439,-0.5861
447.000,846.0,853.0,1.4153,10438.33,-1627.3492,0.0517,-0.3959
448.000,846.4,852.0,1.4123,10461.00,-1629.1985,-0.1720,-0.6189
449.000,842.5,851.0,1.4144,10445.20,-1627.6787,0.0578,-0.3876
450.000,837.1,850.0,1.4193,10409.11,-1626.4552,0.2280,-0.2161
451.000,828.7,849.0,1.4209,10397.78,-1626.6466,-0.1327,-0.5728
452.000,827.9,848.0,1.4258,10361.93,-1625.8344,-0.0248,-0.4661
453.000,865.7,847.0,1.4235,10378.43,-1630.1769,-0.0883,-0.5490
454.000,827.8,846.0,1.4261,10359.40,-1627.8216,-0.0970,-0.5384
455.000,871.8,845.0,1.4299,10331.70,-1629.9430,0.0380,-0.4280
456.000,817.2,844.0,1.4299,10331.72,-1627.2820,0.0219,-0.4149
457.000,829.0,843.0,1.4328,10311.37,-1626.5955,-0.1916,-0.6356
458.000,821.4,842.0,1.4312,10322.42,-1627.3378,0.0541,-0.3854
459.000,885.8,841.0,1.4237,10376.91,-1630.9584,-0.1727,-0.6441
460.000,817.6,840.0,1.4243,10372.70,-1627.7981,-0.0191,-0.4544
461.000,845.0,839.0,1.4260,10360.41,-1628.3457,0.0303,-0.4201
462.000,827.2,838.0,1.4250,10367.50,-1629.9380,0.1363,-0.3043
463.000,824.2,837.0,1.4263,10358.21,-1627.6273,-0.0749,-0.5143
464.000,837.4,836.0,1.4266,10356.07,-1629.1038,-0.1754,-0.6219
465.000,856.1,835.0,1.4300,10331.49,-1631.4185,0.0286,-0.4290
466.000,873.4,834.0,1.4317,10318.79,-1632.8661,0.3313,-0.1362
467.000,864.1,833.0,1.4272,10351.32,-1630.1677,0.1010,-0.3600
468.000,793.3,832.0,1.4276,10348.32,-1626.6274,-0.1474,-0.5707
469.000,871.1,831.0,1.4371,10280.43,-1632.0163,-0.0249,-0.4929
470.000,844.8,830.0,1.4432,10236.55,-1631.0110,-0.0143,-0.4701
471.000,807.6,829.0,1.4432,10236.68,-1630.3153,0.0111,-0.4245
472.000,831.1,828.0,1.4445,10227.60,-1632.2186,-0.0921,-0.5409
473.000,814.3,827.0,1.4429,10239.11,-1630.2343,-0.0389,-0.4781
474.000,826.2,826.0,1.4402,10257.81,-1630.5711,0.0327,-0.4121
475.000,820.7,825.0,1.4397,10261.84,-1630.8483,0.0137,-0.4280
476.000,833.9,824.0,1.4390,10266.55,-1633.2872,-0.1437,-0.5923
477.000,818.3,823.0,1.4389,10267.37,-1630.8372,0.0322,-0.4080
478.000,818.8,822.0,1.4442,10229.90,-1629.8843,-0.2864,-0.7284
479.000,832.8,821.0,1.4488,10197.30,-1631.1566,0.2169,-0.2341
480.000,809.2,820.0,1.4525,10171.21,-1630.7498,-0.3145,-0.7539
481.000,832.0,819.0,1.4493,10193.87,-1631.6526,-0.4375,-0.8882
482.000,810.0,818.0,1.4540,10160.42,-1631.3595,-0.1267,-0.5670
483.000,790.9,817.0,1.4584,10129.79,-1631.1103,0.1883,-0.2429
484.000,793.5,816.0,1.4579,10133.88,-1630.2299,0.0361,-0.3964
485.000,814.0,815.0,1.4596,10121.82,-1630.8741,-0.1224,-0.5665
486.000,799.2,814.0,1.4615,10108.35,-1631.3922,0.0661,-0.3705
487.000,803.3,813.0,1.4679,10064.56,-1630.3816,-0.1121,-0.5529
488.000,815.1,812.0,1.4712,10041.86,-1631.5322,0.1344,-0.3139
489.000,833.0,811.0,1.4689,10057.93,-1634.1376,-0.0065,-0.4638
490.000,822.2,810.0,1.4696,10053.24,-1635.0253,0.0398,-0.4118
491.000,826.2,809.0,1.4683,10061.92,-1634.4788,0.0654,-0.3881
492.000,821.7,808.0,1.4676,10066.46,-1635.1985,0.0116,-0.4392
493.000,804.4,807.0,1.4669,10071.66,-1633.4305,0.3305,-0.1105
494.000,795.6,806.0,1.4657,10079.54,-1632.0717,-0.2362,-0.6721
495.000,813.2,805.0,1.4657,10079.36,-1633.4350,0.1247,-0.3208
496.000,772.2,804.0,1.4616,10107.96,-1632.0039,-0.2222,-0.6441
497.000,752.7,803.0,1.4562,10145.58,-1630.7503,0.3508,-0.0589
498.000,798.9,802.0,1.4580,10133.13,-1633.8765,-0.3653,-0.8007
499.000,798.9,801.0,1.4598,10120.06,-1634.0747,0.2476,-0.1884
500.000,814.6,800.0,1.4648,10086.00,-1637.3342,-0.2268,-0.6728
501.000,794.4,799.0,1.4659,10078.57,-1634.3000,0.2694,-0.1659
502.000,821.3,798.0,1.4660,10077.60,-1636.2767,0.1699,-0.2802
503.000,804.3,797.0,1.4598,10120.32,-1635.3801,0.3255,-0.1134
504.000,785.3,796.0,1.4589,10126.76,-1632.0168,-0.1026,-0.5308
505.000,775.5,795.0,1.4609,10112.50,-1632.6258,0.0673,-0.3562
506.000,802.7,794.0,1.4584,10129.94,-1634.5426,0.0326,-0.4050
507.000,801.7,793.0,1.4533,10165.71,-1633.9630,0.0021,-0.4335
508.000,799.7,792.0,1.4495,10192.05,-1631.9137,-0.3815,-0.8148
509.000,809.1,791.0,1.4549,10154.63,-1632.2935,-0.1112,-0.5513
510.000,799.2,790.0,1.4590,10126.01,-1633.6820,-0.0490,-0.4849
511.000,782.9,789.0,1.4622,10103.51,-1633.3843,-0.0899,-0.5179
512.000,795.5,788.0,1.4625,10101.74,-1635.2389,0.1897,-0.2452
513.000,807.5,787.0,1.4652,10083.29,-1634.9775,0.1045,-0.3378
514.000,770.7,786.0,1.4660,10077.55,-1634.2109,0.0212,-0.4011
515.000,768.1,785.0,1.4712,10042.16,-1634.3051,-0.1804,-0.6028
516.000,777.7,784.0,1.4762,10007.76,-1634.8768,-0.1110,-0.5402
517.000,774.5,783.0,1.4786,9991.85,-1634.9779,-0.1489,-0.5769
518.000,781.4,782.0,1.4827,9964.31,-1635.6955,-0.0706,-0.5037
519.000,759.1,781.0,1.4847,9950.61,-1634.4258,-0.0813,-0.5026
520.000,795.6,780.0,1.4798,9983.53,-1635.8911,-0.2209,-0.6610
521.000,815.5,779.0,1.4829,9962.69,-1635.4306,-0.0392,-0.4913
522.000,752.6,778.0,1.4805,9979.04,-1633.3632,-0.0732,-0.4897
523.000,781.8,777.0,1.4777,9998.12,-1635.9529,0.3881,-0.0437
524.000,809.3,776.0,1.4748,10017.73,-1636.6466,-0.1399,-0.5860
525.000,779.5,775.0,1.4721,10035.65,-1635.1657,0.0114,-0.4176
526.000,761.8,774.0,1.4617,10106.99,-1633.6117,0.0776,-0.3387
527.000,808.4,773.0,1.4667,10072.63,-1635.7378,-0.2438,-0.6870
528.000,798.7,772.0,1.4668,10072.27,-1637.4197,-0.1047,-0.5426
529.000,753.0,771.0,1.4657,10079.69,-1635.5012,-0.0609,-0.4735
530.000,800.1,770.0,1.4669,10071.17,-1638.3108,-0.0321,-0.4708
531.000,776.4,769.0,1.4719,10037.49,-1637.5524,0.0479,-0.3793
532.000,800.4,768.0,1.4706,10046.30,-1638.2109,-0.0143,-0.4543
533.000,764.5,767.0,1.4730,10029.90,-1637.0886,-0.1318,-0.5528
534.000,790.8,766.0,1.4752,10015.01,-1637.7931,-0.3952,-0.8313
535.000,750.6,765.0,1.4782,9994.32,-1634.2968,-0.2531,-0.6679
536.000,722.9,764.0,1.4845,9951.92,-1632.6811,-0.2613,-0.6625
537.000,748.3,763.0,1.4876,9931.55,-1634.4896,-0.0874,-0.5035
538.000,744.0,762.0,1.4929,9896.09,-1635.3608,0.2226,-0.1926
539.000,795.2,761.0,1.4884,9925.61,-1639.8316,-0.0222,-0.4647
540.000,793.8,760.0,1.4828,9963.35,-1640.3292,0.0843,-0.3557
541.000,750.5,759.0,1.4824,9965.80,-1637.5006,-0.5020,-0.9179
542.000,734.7,758.0,1.4812,9974.21,-1637.8955,-0.0351,-0.4419
543.000,757.4,757.0,1.4796,9985.12,-1639.9150,-0.4600,-0.8789
544.000,761.3,756.0,1.4793,9987.09,-1640.0645,0.2440,-0.1770
545.000,750.1,755.0,1.4703,10047.84,-1637.7701,0.1351,-0.2771
546.000,755.9,754.0,1.4696,10052.57,-1635.9543,-0.0653,-0.4806
547.000,743.5,753.0,1.4639,10091.91,-1638.3114,0.1349,-0.2720
548.000,763.1,752.0,1.4646,10087.18,-1638.8547,0.0227,-0.3951
549.000,741.7,751.0,1.4590,10126.14,-1637.4945,0.0621,-0.3424
550.000,731.4,750.0,1.4673,10068.93,-1636.4235,-0.1023,-0.5034
551.000,788.4,749.0,1.4688,10058.18,-1640.3584,-0.0088,-0.4417
552.000,723.9,748.0,1.4711,10042.37,-1637.1531,-0.4819,-0.8800
553.000,758.7,747.0,1.4766,10005.30,-1640.0378,0.1435,-0.2753
554.000,743.8,746.0,1.4776,9998.57,-1637.0399,0.0141,-0.3967
555.000,781.4,745.0,1.4834,9959.71,-1638.5093,-0.0069,-0.4402
556.000,756.1,744.0,1.4814,9973.01,-1640.8216,0.0209,-0.3978
557.000,725.4,743.0,1.4731,10029.27,-1639.0044,0.2549,-0.1446
558.000,702.6,742.0,1.4710,10043.57,-1637.2177,-0.2796,-0.6659
559.000,704.2,741.0,1.4677,10065.96,-1636.5315,0.1637,-0.2226
560.000,692.7,740.0,1.4651,10083.52,-1635.7808,-0.0917,-0.4711
561.000,735.0,739.0,1.4643,10089.25,-1638.9778,0.3106,-0.0918
562.000,745.8,738.0,1.4635,10094.89,-1637.4186,-0.1457,-0.5537
563.000,745.1,737.0,1.4662,10076.56,-1636.4685,0.0620,-0.3464
564.000,748.1,736.0,1.4648,10086.14,-1637.6845,0.0287,-0.3809
565.000,760.9,735.0,1.4712,10041.72,-1640.5067,-0.0967,-0.5151
566.000,741.8,734.0,1.4705,10046.51,-1640.5524,0.0264,-0.3814
567.000,729.8,733.0,1.4708,10044.39,-1641.3136,0.1591,-0.2422
568.000,759.0,732.0,1.4712,10042.18,-1641.5825,0.0491,-0.3682
569.000,706.3,731.0,1.4733,10027.58,-1637.6456,0.2248,-0.1642
570.000,743.3,730.0,1.4712,10042.11,-1639.1930,0.0126,-0.3962
571.000,774.7,729.0,1.4720,10036.59,-1640.8714,-0.2455,-0.6717
572.000,757.3,728.0,1.4723,10034.27,-1639.9241,-0.0185,-0.4353
573.000,713.8,727.0,1.4678,10064.95,-1635.8341,0.1906,-0.2010
574.000,694.0,726.0,1.4674,10067.78,-1636.2876,0.1548,-0.2259
575.000,699.0,725.0,1.4690,10057.03,-1639.4931,-0.1345,-0.5183
576.000,738.8,724.0,1.4753,10013.91,-1639.6712,0.0558,-0.3517
577.000,714.6,723.0,1.4712,10042.26,-1639.4683,0.0863,-0.3067
578.000,712.2,722.0,1.4674,10068.17,-1639.0676,0.1356,-0.2551
579.000,718.6,721.0,1.4625,10101.69,-1639.9637,0.0800,-0.3129
580.000,704.8,720.0,1.4628,10099.80,-1637.6090,0.0436,-0.3418
581.000,709.6,719.0,1.4654,10081.94,-1638.7728,0.1328,-0.2559
582.000,729.9,718.0,1.4686,10059.88,-1641.9904,-0.1653,-0.5660
583.000,689.6,717.0,1.4653,10082.29,-1639.1953,-0.0895,-0.4672
584.000,706.4,716.0,1.4625,10102.04,-1639.5631,0.2724,-0.1137
585.000,710.5,715.0,1.4633,10096.22,-1638.9954,-0.2314,-0.6201
586.000,714.7,714.0,1.4610,10112.11,-1639.2210,0.1222,-0.2681
587.000,741.2,713.0,1.4595,10122.51,-1640.6896,-0.1514,-0.5558
588.000,695.9,712.0,1.4560,10146.91,-1637.9473,0.2538,-0.1249
589.000,707.4,711.0,1.4548,10155.17,-1640.2198,-0.2333,-0.6181
590.000,702.4,710.0,1.4581,10132.01,-1639.3053,0.0504,-0.3324
591.000,732.6,709.0,1.4627,10100.21,-1642.5977,0.0335,-0.3671
592.000,737.1,708.0,1.4641,10090.43,-1642.7926,-0.1368,-0.5402
593.000,720.3,707.0,1.4631,10097.72,-1642.0126,-0.0367,-0.4307
594.000,692.2,706.0,1.4618,10106.36,-1640.8549,0.0982,-0.2800
595.000,676.3,705.0,1.4625,10102.01,-1638.4194,-0.3634,-0.7331
596.000,684.6,704.0,1.4683,10062.12,-1639.3099,0.0013,-0.3744
597.000,711.0,703.0,1.4676,10066.42,-1641.8597,-0.1968,-0.5868
598.000,699.9,702.0,1.4732,10028.38,-1640.2927,-0.1203,-0.5057
599.000,683.5,701.0,1.4742,10021.71,-1638.9081,0.0111,-0.3656
600.000,717.2,700.0,1.4816,9971.46,-1641.7542,-0.0679,-0.4651
601.000,732.4,699.0,1.4922,9900.64,-1644.1682,-0.0878,-0.4963
602.000,711.5,698.0,1.5036,9825.72,-1643.1991,-0.0045,-0.4044
603.000,670.1,697.0,1.5009,9843.48,-1640.1770,-0.2505,-0.6264
604.000,693.8,696.0,1.5038,9824.21,-1642.2329,-0.0489,-0.4389
605.000,698.7,695.0,1.5062,9808.57,-1643.1117,-0.1266,-0.5200
606.000,664.4,694.0,1.5044,9820.49,-1641.1921,0.0741,-0.2995
607.000,693.5,693.0,1.5031,9828.66,-1642.3468,0.2315,-0.1582
608.000,679.3,692.0,1.5025,9833.04,-1642.6171,-0.3334,-0.7149
609.000,669.0,691.0,1.5035,9825.99,-1641.8897,-0.1272,-0.5032
610.000,690.4,690.0,1.5053,9814.60,-1642.7104,0.0090,-0.3795
611.000,675.1,689.0,1.4995,9852.32,-1641.8145,0.1297,-0.2487
612.000,675.8,688.0,1.4916,9904.53,-1642.0604,0.0483,-0.3285
613.000,711.5,687.0,1.4875,9931.81,-1642.1209,-0.1093,-0.5050
614.000,678.5,686.0,1.4827,9963.85,-1640.2973,0.0891,-0.2870
615.000,687.9,685.0,1.4826,9964.74,-1642.4304,0.2344,-0.1468
616.000,674.9,684.0,1.4832,9960.79,-1640.3742,-0.1319,-0.5060
617.000,675.5,683.0,1.4775,9999.46,-1640.5560,-0.0134,-0.3864
618.000,712.3,682.0,1.4746,10018.55,-1643.3362,0.1166,-0.2761
619.000,664.0,681.0,1.4711,10042.97,-1642.4792,0.1503,-0.2148
620.000,686.2,680.0,1.4632,10096.94,-1644.2483,-0.1806,-0.5559
621.000,653.2,679.0,1.4567,10141.58,-1641.7406,-0.0280,-0.3837
622.000,682.5,678.0,1.4565,10143.66,-1644.1633,-0.0474,-0.4189
623.000,658.6,677.0,1.4496,10191.39,-1643.0638,0.0614,-0.2954
624.000,705.1,676.0,1.4458,10218.44,-1645.4648,-0.1482,-0.5293
625.000,679.7,675.0,1.4457,10218.78,-1643.7269,-0.0050,-0.3723
626.000,651.6,674.0,1.4489,10196.59,-1641.8231,-0.1805,-0.5335
627.000,707.7,673.0,1.4542,10159.10,-1644.7363,-0.1074,-0.4922
628.000,675.6,672.0,1.4561,10146.37,-1644.5748,-0.0031,-0.3708
629.000,692.7,671.0,1.4521,10173.75,-1643.9144,-0.1933,-0.5693
630.000,666.4,670.0,1.4510,10181.91,-1643.6497,-0.0413,-0.4028
631.000,674.7,669.0,1.4494,10192.95,-1644.7580,-0.1975,-0.5631
632.000,685.8,668.0,1.4520,10174.62,-1646.2257,-0.1174,-0.4897
633.000,626.3,667.0,1.4515,10177.99,-1642.5392,-0.0138,-0.3536
634.000,638.6,666.0,1.4530,10168.01,-1640.6579,-0.1210,-0.4678
635.000,642.4,665.0,1.4519,10175.72,-1640.4173,-0.2548,-0.6034
636.000,674.5,664.0,1.4512,10180.10,-1643.6463,0.1891,-0.1769
637.000,639.3,663.0,1.4446,10226.75,-1642.2849,0.1607,-0.1846
638.000,678.2,662.0,1.4451,10223.24,-1643.2192,-0.2331,-0.5995
639.000,678.7,661.0,1.4456,10219.79,-1644.7862,-0.4253,-0.7921
640.000,626.3,660.0,1.4508,10183.40,-1641.3266,-0.0373,-0.3770
641.000,640.5,659.0,1.4541,10160.39,-1642.4325,0.0620,-0.2861
642.000,668.8,658.0,1.4573,10137.63,-1644.2357,-0.0133,-0.3776
643.000,641.2,657.0,1.4587,10127.98,-1643.4894,0.1282,-0.2215
644.000,676.6,656.0,1.4597,10120.88,-1646.0067,0.3740,0.0048
645.000,651.2,655.0,1.4600,10118.90,-1645.6340,0.0083,-0.3471
646.000,653.9,654.0,1.4643,10089.00,-1645.3180,-0.1408,-0.4987
647.000,676.3,653.0,1.4643,10089.16,-1647.0431,0.0569,-0.3133
648.000,639.5,652.0,1.4648,10085.62,-1645.2427,0.0458,-0.3043
649.000,663.4,651.0,1.4651,10083.46,-1647.7037,-0.0117,-0.3751
650.000,640.4,650.0,1.4688,10058.16,-1645.4055,-0.0043,-0.3559
651.000,662.5,649.0,1.4681,10063.01,-1645.7257,0.1343,-0.2293
652.000,642.1,648.0,1.4661,10077.19,-1646.3408,-0.1794,-0.5313
653.000,667.8,647.0,1.4723,10034.35,-1646.9327,-0.0714,-0.4389
654.000,667.9,646.0,1.4764,10006.80,-1647.8867,-0.1178,-0.4864
655.000,616.0,645.0,1.4807,9977.71,-1645.9338,0.1017,-0.2392
656.000,633.4,644.0,1.4833,9960.07,-1647.9711,-0.2058,-0.5570
657.000,651.4,643.0,1.4802,9980.90,-1646.8057,0.1239,-0.2366
658.000,647.4,642.0,1.4808,9976.91,-1646.2124,0.0935,-0.2649
659.000,636.2,641.0,1.4820,9968.86,-1645.9389,0.0369,-0.3156
660.000,655.4,640.0,1.4882,9927.31,-1646.9033,0.0079,-0.3567
661.000,630.4,639.0,1.4912,9907.27,-1646.7414,0.0688,-0.2826
662.000,656.6,638.0,1.4901,9914.90,-1646.4445,0.1735,-0.1922
663.000,621.7,637.0,1.4907,9910.31,-1644.3366,-0.3330,-0.6795
664.000,652.0,636.0,1.4975,9865.59,-1646.3135,-0.0043,-0.3692
665.000,637.4,635.0,1.4939,9889.38,-1645.6777,0.1933,-0.1627
666.000,628.0,634.0,1.4899,9915.61,-1645.5237,0.0961,-0.2536
667.000,648.3,633.0,1.4871,9934.41,-1647.0438,0.4292,0.0689
668.000,631.4,632.0,1.4877,9930.65,-1647.3506,0.0021,-0.3490
669.000,615.7,631.0,1.4819,9969.51,-1646.0624,0.0009,-0.3401
670.000,610.7,630.0,1.4860,9941.72,-1646.2957,-0.0125,-0.3517
671.000,626.9,629.0,1.4790,9989.07,-1648.2279,0.3239,-0.0227
