# co-doping HYPOTHESIS GENERATOR v2 (ML-assisted). NOT validated — co-doping 실측/계산 라벨 없음. 후보 제안용이며 예측기가 아님.
# method: ridge(47 single dopants, LOOCV lambda) coefficients transplanted to pair features + 8 physics interaction terms distilled from v1 heuristic (weighted ridge: listed 1.0 / unlisted~0 weight 0.1). ml_score = base_z + sum(v_j*inter_j); uncertainty = internal LOOCV-residual propagation only.
# columns: gap_min = min(gap_lit_eV) 문헌 큐레이션 값(우리 계산 갭 아님); air_max = HSAB 정성등급 큐레이션; transport_min = min(bvs_x005) BVS proxy(절대 σ 아님); joint_window_V = max(ox)-min(red) 상보 가정; window_gain = joint_window_V - max(단일 도펀트 창) — 0 이면 상보가 발동하지 않고 더 나은 한쪽 창을 그대로 물려받은 것(전체 1081쌍의 ~70%가 정확히 0).
# applicability domain (Sendek 2017 EES 10,306 §3.4 이식 — 열 3종 추가): ad_d = 47 도펀트 훈련셋 PCA-분산 정규화 중심거리(훈련 점들의 평균 = 1); ad_eps = leave-one-dopant-out 47 재적합 예측의 표준편차(모델 불안정성); ad_A = 적용영역 판정(1 = ad_d <= 2, 0 = 외삽 = 순위 신뢰 낮음). 역설계/champion 선정 시 ad_A=0 은 winner's curse 위험군으로 취급할 것.
rank,pairA,pairB,ml_score,uncertainty,joint_window_V,window_gain,transport_min,gap_min,air_max,top_interaction,tags,ad_d,ad_eps,ad_A
168,In2O3,NiO,1.3098,0.438,0.791,0.000,0.8866,2.9,0.60,disorder_max*dose_slope_min,cross-group|collapse-member,1.309,0.114,1
169,CaO,In2O3,1.3056,0.583,1.114,0.216,0.8866,2.9,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group,1.635,0.136,1
170,Al2O3,Ga2O3,1.2769,0.320,0.984,0.206,0.8552,4.8,0.20,group_cross*joint_window,anode<->cathode|weak-transport,0.915,0.120,1
171,CrO3,HfO2,1.2640,0.348,0.898,0.144,0.8597,2.0,0.20,joint_window*gap_min,anode<->cathode|weak-transport,1.350,0.211,1
172,B2O3,Na2O,1.2605,0.526,0.600,0.257,0.8199,5.0,0.20,transport_min*blocking_max,anode<->cathode|cross-group|weak-transport,1.260,0.114,1
173,CoO,Cr2O3,1.2553,0.425,0.633,0.000,0.9035,2.5,0.60,transport_min*blocking_max,collapse-member,1.031,0.067,1
174,HfO2,Nb2O5,1.2513,0.234,0.819,0.065,0.8597,3.4,0.20,de_avg*joint_window,anode<->cathode|weak-transport,1.241,0.178,1
175,NdF3,Y2O3,1.2450,0.210,0.891,0.000,0.8566,5.6,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,1.147,0.111,1
176,Cr2O3,TiO2,1.2387,0.121,0.639,0.006,0.8641,3.2,0.20,air_max*gap_min,weak-transport,1.071,0.077,1
177,Gd2O3,ScF3,1.2343,0.412,0.834,0.000,0.8557,5.4,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,1.085,0.168,1
178,CaO,Sc2O3,1.2333,0.375,1.114,0.144,0.8656,6.0,0.20,de_avg*joint_window,anode<->cathode|cross-group,1.134,0.091,1
179,TiO2,Y2O3,1.2322,0.253,0.891,0.000,0.8641,3.2,0.20,de_avg*joint_window,weak-transport,1.140,0.169,1
180,Gd2O3,MoO3,1.2316,0.407,0.742,0.022,0.8419,3.0,0.20,de_avg*joint_window,cross-group|weak-transport,0.988,0.138,1
181,B2O3,Ga2O3,1.2314,0.463,0.778,0.000,0.8199,4.8,0.20,transport_min*blocking_max,weak-transport,1.116,0.094,1
182,Ta2O5,YF3,1.2272,0.199,0.848,0.000,0.8766,4.0,0.45,de_avg*joint_window,oxyfluoride,1.229,0.162,1
183,Al2O3,Ta2O5,1.2255,0.139,0.768,0.000,0.8756,4.0,0.20,de_avg*joint_window,cross-group,1.036,0.121,1
184,Cr2O3,Na2O,1.2238,0.117,0.639,0.006,0.8624,3.4,0.20,joint_window*gap_min,cross-group|weak-transport,1.144,0.096,1
185,B2O3,ZrO2,1.2199,0.532,0.604,0.330,0.8199,5.5,0.20,transport_min*blocking_max,anode<->cathode|cross-group|weak-transport,1.123,0.092,1
186,TiF4,Y2O3,1.2177,0.247,0.891,0.000,0.8729,5.6,0.45,de_avg*joint_window,oxyfluoride,1.086,0.139,1
187,Al2O3,Nb2O5,1.2127,0.155,0.768,0.000,0.8756,3.4,0.20,de_avg*joint_window,cross-group,1.100,0.126,1
188,CaO,Gd2O3,1.2111,0.379,0.898,0.000,0.8557,5.4,0.20,de_avg*joint_window,cross-group|weak-transport,1.159,0.147,1
189,Gd2O3,YF3,1.1968,0.409,0.848,0.000,0.8557,5.4,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,1.088,0.172,1
190,Gd2O3,ZrF4,1.1966,0.160,0.720,0.000,0.8557,5.4,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,1.134,0.105,1
191,Ga2O3,MnO,1.1841,0.153,0.778,0.000,0.8535,3.9,0.20,joint_window*gap_min,cross-group|weak-transport|collapse-member,0.885,0.071,1
192,Cr2O3,TiF4,1.1821,0.105,0.639,0.006,0.8729,3.4,0.45,joint_window*gap_min,oxyfluoride,1.039,0.065,1
193,Ga2O3,Y2O3,1.1593,0.181,0.965,0.074,0.8552,4.8,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,0.961,0.093,1
194,B2O3,NdF3,1.1557,0.221,0.799,0.397,0.8199,6.2,0.45,air_max*gap_min,anode<->cathode|oxyfluoride|cross-group|weak-transport,1.236,0.090,1
195,In2O3,MgF2,1.1477,0.470,1.013,0.216,0.8699,2.9,0.45,disorder_max*dose_slope_min,anode<->cathode|oxyfluoride|cross-group,1.631,0.115,1
196,Ga2O3,Nd2O3,1.1391,0.131,0.838,0.060,0.8552,4.7,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,1.330,0.086,1
197,Gd2O3,Sm2O3,1.1349,0.360,0.720,0.000,0.8557,4.6,0.20,de_avg*joint_window,weak-transport,1.098,0.117,1
198,Ga2O3,MoO3,1.1283,0.266,0.778,0.000,0.8419,3.0,0.20,joint_window*gap_min,cross-group|weak-transport,0.817,0.102,1
199,B2O3,NiO,1.1183,0.571,0.501,0.227,0.8199,4.0,0.60,joint_window*transport_min,anode<->cathode|cross-group|weak-transport|collapse-member,1.444,0.157,1
200,Ga2O3,V2O5,1.1155,0.209,0.778,0.000,0.8552,2.3,0.20,joint_window*gap_min,cross-group|weak-transport,0.790,0.124,1
201,Al2O3,WO3,1.1128,0.170,0.768,0.000,0.8680,2.7,0.20,joint_window*gap_min,cross-group,0.987,0.126,1
202,Fe2O3,Ga2O3,1.0980,0.265,0.778,0.000,0.8552,2.2,0.20,joint_window*gap_min,cross-group|weak-transport|collapse-member,1.051,0.122,1
203,B2O3,CrO3,1.0955,0.618,0.588,0.177,0.8199,2.0,0.20,joint_window*transport_min,anode<->cathode|cross-group|weak-transport,1.267,0.087,1
204,B2O3,BaO,1.0932,0.426,0.600,0.246,0.8199,4.0,0.20,joint_window*transport_min,anode<->cathode|cross-group|weak-transport,1.033,0.098,1
205,CaF2,Sc2O3,1.0905,0.388,1.114,0.144,0.8656,6.0,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride|cross-group,1.328,0.097,1
206,Cr2O3,GeO2,1.0842,0.440,0.734,0.101,0.8297,3.4,0.20,joint_window*gap_min,anode<->cathode|cross-group|weak-transport,1.273,0.113,1
207,CrO3,Ga2O3,1.0842,0.262,0.778,0.000,0.8552,2.0,0.20,joint_window*gap_min,cross-group|weak-transport,0.887,0.117,1
208,B2O3,V2O5,1.0812,0.440,0.581,0.275,0.8199,2.3,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group|weak-transport,1.213,0.068,1
209,Ga2O3,LaF3,1.0700,0.139,0.881,0.103,0.8552,4.8,0.45,air_max*gap_min,anode<->cathode|oxyfluoride|cross-group|weak-transport,0.999,0.054,1
210,Gd2O3,Sb2O5,1.0504,0.267,0.742,0.022,0.8557,3.0,0.20,de_avg*joint_window,cross-group|weak-transport,1.152,0.129,1
211,B2O3,TiO2,1.0435,0.528,0.600,0.293,0.8199,3.2,0.20,transport_min*blocking_max,anode<->cathode|cross-group|weak-transport,1.090,0.098,1
212,MoO3,Sm2O3,1.0428,0.502,0.652,0.151,0.8419,3.0,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group|weak-transport,1.250,0.140,1
213,Gd2O3,SnO2,1.0346,0.196,0.742,0.022,0.8557,3.6,0.20,disorder_max*dose_slope_min,cross-group|weak-transport,1.286,0.123,1
214,Sc2O3,SrO,1.0273,0.283,0.970,0.000,0.8656,6.0,0.20,de_avg*joint_window,cross-group,1.013,0.077,1
215,In2O3,Na2O,1.0243,0.425,0.791,0.000,0.8624,2.9,0.20,disorder_max*dose_slope_min,cross-group|weak-transport,1.521,0.130,1
216,GeO2,In2O3,1.0239,0.554,0.791,0.000,0.8297,2.9,0.20,disorder_max*dose_slope_min,weak-transport,1.776,0.172,1
217,B2O3,YF3,1.0161,0.715,1.025,0.177,0.8199,6.2,0.45,disorder_max*dose_slope_min,anode<->cathode|oxyfluoride|cross-group|weak-transport,1.192,0.163,1
218,Gd2O3,Li2O,1.0016,0.237,0.898,0.000,0.8557,5.4,0.20,de_avg*joint_window,cross-group|weak-transport,1.369,0.128,1
219,CaO,Y2O3,0.9985,0.676,1.040,0.142,0.9123,5.6,0.20,joint_window*transport_min,anode<->cathode|cross-group,0.952,0.172,1
220,Gd2O3,V2O5,0.9938,0.286,0.720,0.000,0.8557,2.3,0.20,de_avg*joint_window,cross-group|weak-transport,1.178,0.126,1
221,In2O3,ZnO,0.9914,0.418,0.791,0.000,0.8633,2.9,0.60,disorder_max*dose_slope_min,cross-group|weak-transport,1.348,0.116,1
222,Al2O3,Sm2O3,0.9840,0.115,0.768,0.000,0.8756,4.6,0.20,de_avg*joint_window,cross-group,1.482,0.099,1
223,Ga2O3,La2O3,0.9780,0.104,0.833,0.055,0.8552,4.8,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,0.910,0.078,1
224,B2O3,CoO,0.9615,0.536,0.456,0.182,0.8199,2.5,0.60,joint_window*transport_min,anode<->cathode|cross-group|weak-transport|collapse-member,1.381,0.120,1
225,Gd2O3,NdF3,0.9612,0.208,0.720,0.000,0.8557,5.4,0.45,joint_window*gap_min,oxyfluoride|weak-transport,1.061,0.109,1
226,SnO2,Y2O3,0.9524,0.427,0.891,0.000,0.9078,3.6,0.20,joint_window*transport_min,cross-group,1.295,0.124,1
227,Ga2O3,ZrF4,0.9471,0.143,0.778,0.000,0.8552,4.8,0.45,joint_window*gap_min,oxyfluoride|cross-group|weak-transport,0.786,0.079,1
228,Cu2O,Y2O3,0.9451,1.104,0.891,0.000,0.9106,2.1,1.00,joint_window*gap_min,air-protect,1.685,0.142,1
229,CaO,Ta2O5,0.9426,0.177,0.898,0.000,0.8766,4.0,0.20,de_avg*joint_window,cross-group,1.174,0.125,1
230,Gd2O3,SiO2,0.9334,0.212,0.742,0.016,0.8557,5.4,0.20,disorder_max*dose_slope_min,cross-group|weak-transport,1.362,0.108,1
231,Gd2O3,Nd2O3,0.9320,0.360,0.720,0.000,0.8557,4.7,0.20,de_avg*joint_window,weak-transport,1.198,0.117,1
232,Cu2O,In2O3,0.9264,0.685,0.791,0.000,0.8866,2.1,1.00,disorder_max*dose_slope_min,cross-group|air-protect,1.784,0.129,1
233,CaF2,Gd2O3,0.9239,0.420,0.898,0.000,0.8557,5.4,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,1.392,0.168,1
234,LaF3,WO3,0.9230,0.095,0.665,0.242,0.8680,2.7,0.45,joint_window*gap_min,anode<->cathode|oxyfluoride|cross-group,1.051,0.080,1
235,MoO3,YF3,0.9147,0.481,0.848,0.000,0.8419,3.0,0.45,disorder_max*dose_slope_min,oxyfluoride|weak-transport,1.395,0.190,1
236,MgF2,Y2O3,0.9095,0.190,0.939,0.048,0.8699,5.6,0.45,disorder_max*dose_slope_min,oxyfluoride|cross-group,1.582,0.075,1
237,CaF2,In2O3,0.9063,0.514,1.114,0.216,0.8774,2.9,0.45,disorder_max*dose_slope_min,anode<->cathode|oxyfluoride|cross-group,2.055,0.125,0
238,ScF3,WO3,0.8971,0.208,0.834,0.000,0.8680,2.7,0.45,joint_window*gap_min,oxyfluoride,1.333,0.145,1
239,B2O3,Sb2O5,0.8726,0.544,0.540,0.177,0.8199,3.0,0.20,joint_window*transport_min,anode<->cathode|weak-transport,1.338,0.080,1
240,B2O3,SnO2,0.8687,0.555,0.600,0.177,0.8199,3.6,0.20,transport_min*blocking_max,anode<->cathode|weak-transport,1.353,0.108,1
241,Al2O3,MnO,0.8646,0.108,0.768,0.000,0.8535,3.9,0.20,joint_window*gap_min,cross-group|weak-transport|collapse-member,1.106,0.091,1
242,Cr2O3,Cu2O,0.8616,0.880,0.633,0.000,0.9035,2.1,1.00,transport_min*blocking_max,air-protect,1.667,0.113,1
243,Al2O3,Fe2O3,0.8574,0.223,0.768,0.000,0.8756,2.2,0.20,joint_window*gap_min,cross-group|collapse-member,1.235,0.131,1
244,Na2O,Sc2O3,0.8500,0.172,0.970,0.000,0.8624,5.0,0.20,air_max*transport_min,cross-group|weak-transport,1.143,0.056,1
245,CaO,Sm2O3,0.8457,0.360,0.898,0.000,0.8759,4.6,0.20,disorder_max*dose_slope_min,cross-group,1.430,0.108,1
246,B2O3,TiF4,0.8415,0.611,0.600,0.293,0.8199,6.2,0.45,joint_window*gap_min,anode<->cathode|oxyfluoride|cross-group|weak-transport,1.273,0.130,1
247,Gd2O3,LiF,0.8253,0.330,0.898,0.000,0.8557,5.4,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,1.497,0.149,1
248,V2O5,YF3,0.8172,0.274,0.848,0.000,0.8693,2.3,0.45,de_avg*joint_window,oxyfluoride,1.435,0.176,1
249,Ag2O,Cr2O3,0.8166,0.533,0.633,0.000,0.8694,1.3,1.00,disorder_max*dose_slope_min,air-protect,1.536,0.080,1
250,Ga2O3,Sb2O5,0.8157,0.205,0.778,0.000,0.8552,3.0,0.20,joint_window*gap_min,weak-transport,0.842,0.109,1
251,B2O3,Fe2O3,0.8150,0.799,0.513,0.239,0.8199,2.2,0.20,joint_window*transport_min,anode<->cathode|cross-group|weak-transport|collapse-member,1.597,0.083,1
252,ScF3,Sm2O3,0.8116,0.119,0.834,0.000,0.8759,4.6,0.45,de_avg*joint_window,oxyfluoride|cross-group,0.977,0.108,1
253,Gd2O3,ZrO2,0.7946,0.106,0.720,0.000,0.8557,5.4,0.20,joint_window*gap_min,cross-group|weak-transport,1.003,0.087,1
254,In2O3,MgO,0.7905,0.497,0.951,0.160,0.8866,2.9,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group,1.480,0.118,1
255,Al2O3,Nd2O3,0.7891,0.116,0.768,0.000,0.8756,4.7,0.20,de_avg*joint_window,cross-group,1.493,0.099,1
256,Y2O3,ZnO,0.7845,0.234,0.891,0.000,0.8633,3.3,0.60,group_cross*joint_window,weak-transport,1.556,0.126,1
257,WO3,YF3,0.7834,0.223,0.848,0.000,0.8680,2.7,0.45,joint_window*gap_min,oxyfluoride,1.398,0.149,1
258,MnO,SnO2,0.7829,0.317,0.423,0.000,0.8535,3.6,0.20,de_avg*joint_window,cross-group|weak-transport|collapse-member,0.684,0.174,1
259,Al2O3,CrO3,0.7801,0.211,0.768,0.000,0.8668,2.0,0.20,joint_window*gap_min,cross-group,1.110,0.129,1
260,Li2O,Sc2O3,0.7698,0.325,1.114,0.144,0.8656,6.0,0.20,de_avg*joint_window,anode<->cathode|cross-group,1.167,0.079,1
261,Ag2O,In2O3,0.7675,0.684,0.791,0.000,0.8694,1.3,1.00,disorder_max*dose_slope_min,cross-group|air-protect,1.815,0.123,1
262,Gd2O3,NiO,0.7582,0.153,0.720,0.000,0.8557,4.0,0.60,disorder_max*dose_slope_min,cross-group|weak-transport|collapse-member,1.390,0.105,1
263,Al2O3,LaF3,0.7555,0.157,0.768,0.000,0.8756,8.8,0.45,air_max*gap_min,oxyfluoride|cross-group|insulating,0.721,0.078,1
264,B2O3,GeO2,0.7546,0.491,0.695,0.177,0.8199,4.5,0.20,transport_min*blocking_max,anode<->cathode|weak-transport,0.963,0.088,1
265,Gd2O3,La2O3,0.7525,0.353,0.720,0.000,0.8557,5.4,0.20,de_avg*joint_window,weak-transport,0.990,0.112,1
266,Al2O3,V2O5,0.7500,0.200,0.768,0.000,0.8693,2.3,0.20,de_avg*joint_window,cross-group,1.091,0.138,1
267,Gd2O3,ZnO,0.7459,0.134,0.742,0.022,0.8557,3.3,0.60,joint_window*gap_min,cross-group|weak-transport,1.390,0.106,1
268,LiF,Sc2O3,0.7424,0.352,1.114,0.144,0.8656,6.0,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride|cross-group,1.281,0.084,1
269,Sm2O3,WO3,0.7340,0.175,0.652,0.151,0.8680,2.7,0.20,air_max*gap_min,anode<->cathode|cross-group,1.353,0.081,1
270,Fe2O3,ScF3,0.7296,0.278,0.834,0.000,0.8827,2.2,0.45,joint_window*gap_min,oxyfluoride|collapse-member,1.722,0.136,1
271,GeO2,Sc2O3,0.7271,0.442,0.970,0.000,0.8297,4.5,0.20,de_avg*joint_window,cross-group|weak-transport,1.132,0.113,1
272,HfO2,Ta2O5,0.7236,0.144,0.785,0.031,0.8597,4.0,0.20,de_avg*joint_window,weak-transport,1.352,0.145,1
273,MnO,Na2O,0.7231,0.380,0.343,0.000,0.8535,3.9,0.20,de_avg*joint_window,cross-group|weak-transport|collapse-member,0.836,0.215,1
274,BaO,Y2O3,0.7126,0.280,0.891,0.000,0.8893,4.0,0.20,joint_window*transport_min,cross-group,0.967,0.111,1
275,B2O3,ZnO,0.7034,0.523,0.752,0.177,0.8199,3.3,0.60,transport_min*blocking_max,anode<->cathode|cross-group|weak-transport,1.600,0.093,1
276,Al2O3,MoO3,0.6974,0.210,0.768,0.000,0.8419,3.0,0.20,joint_window*gap_min,cross-group|weak-transport,1.117,0.119,1
277,MgO,Sc2O3,0.6850,0.225,0.970,0.000,0.8656,6.0,0.20,de_avg*joint_window,cross-group,1.213,0.063,1
278,ScF3,V2O5,0.6847,0.206,0.834,0.000,0.8693,2.3,0.45,de_avg*joint_window,oxyfluoride,1.388,0.160,1
279,B2O3,Cu2O,0.6736,1.077,0.566,0.292,0.8199,2.1,1.00,disorder_max*dose_slope_min,anode<->cathode|cross-group|air-protect|weak-transport,1.929,0.124,1
280,LaF3,MoO3,0.6734,0.200,0.665,0.247,0.8419,3.0,0.45,transport_min*blocking_max,anode<->cathode|oxyfluoride|cross-group|weak-transport,1.054,0.080,1
281,Ag2O,Y2O3,0.6713,0.643,0.891,0.000,0.8694,1.3,1.00,joint_window*gap_min,air-protect,2.114,0.125,0
282,Ga2O3,NdF3,0.6619,0.126,0.838,0.060,0.8552,4.8,0.45,air_max*gap_min,anode<->cathode|oxyfluoride|cross-group|weak-transport,0.900,0.059,1
283,GeO2,MnO,0.6608,0.499,0.518,0.000,0.8297,3.9,0.20,de_avg*joint_window,cross-group|weak-transport|collapse-member,1.169,0.140,1
284,Na2O,SrO,0.6517,0.479,0.343,0.000,0.8624,5.0,0.20,de_avg*joint_window,cross-group|weak-transport,0.858,0.302,1
285,LiF,Nb2O5,0.6496,0.263,0.898,0.000,0.8889,3.4,0.45,disorder_max*dose_slope_min,oxyfluoride|cross-group,1.419,0.122,1
286,Ga2O3,HfO2,0.6486,0.222,1.114,0.336,0.8552,4.8,0.20,transport_min*blocking_max,anode<->cathode|cross-group|weak-transport,1.006,0.048,1
287,Nd2O3,ScF3,0.6421,0.235,0.834,0.000,0.8932,4.7,0.45,de_avg*joint_window,oxyfluoride|cross-group,0.960,0.108,1
288,AlF3,B2O3,0.6392,0.556,0.945,0.177,0.8199,6.2,0.45,group_cross*joint_window,anode<->cathode|oxyfluoride|weak-transport,1.306,0.172,1
289,La2O3,YF3,0.6340,0.433,0.848,0.000,0.8727,5.5,0.45,disorder_max*dose_slope_min,oxyfluoride|cross-group,0.903,0.141,1
290,In2O3,LiF,0.6260,0.596,1.114,0.216,0.8866,2.9,0.45,disorder_max*dose_slope_min,anode<->cathode|oxyfluoride|cross-group,1.757,0.133,1
291,Fe2O3,YF3,0.6218,0.287,0.848,0.000,0.8824,2.2,0.45,joint_window*gap_min,oxyfluoride|collapse-member,1.728,0.140,1
292,In2O3,Li2O,0.6189,0.591,1.114,0.216,0.8828,2.9,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group,1.639,0.128,1
293,B2O3,ScF3,0.6181,0.653,1.011,0.177,0.8199,6.2,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride|cross-group|weak-transport,1.287,0.153,1
294,CrO3,LaF3,0.6132,0.066,0.665,0.247,0.8668,2.0,0.45,joint_window*gap_min,anode<->cathode|oxyfluoride|cross-group,1.121,0.079,1
295,AlF3,Gd2O3,0.6046,0.381,0.768,0.000,0.8427,5.4,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,1.278,0.135,1
296,CaO,V2O5,0.6034,0.298,0.898,0.000,0.8693,2.3,0.20,joint_window*gap_min,cross-group,1.378,0.162,1
297,MgF2,WO3,0.5983,0.174,0.797,0.000,0.8680,2.7,0.45,disorder_max*dose_slope_min,oxyfluoride|cross-group,1.371,0.104,1
298,HfO2,Sb2O5,0.5918,0.223,0.898,0.144,0.8597,3.0,0.20,joint_window*gap_min,anode<->cathode|cross-group|weak-transport,1.453,0.145,1
299,Al2O3,ZrF4,0.5808,0.156,0.768,0.000,0.8756,8.8,0.45,air_max*gap_min,oxyfluoride|cross-group|insulating,0.776,0.079,1
300,SiO2,Y2O3,0.5625,0.149,0.891,0.000,0.8684,5.6,0.20,de_avg*joint_window,cross-group,1.315,0.070,1
301,CrO3,Sm2O3,0.5529,0.188,0.652,0.151,0.8668,2.0,0.20,air_max*gap_min,anode<->cathode|cross-group,1.328,0.089,1
302,CaF2,Ta2O5,0.5521,0.185,0.898,0.000,0.8766,4.0,0.45,de_avg*joint_window,oxyfluoride|cross-group,1.495,0.125,1
303,MnO,SrO,0.5492,0.323,0.343,0.000,0.8535,3.9,0.20,de_avg*joint_window,cross-group|weak-transport|collapse-member,0.808,0.181,1
304,Al2O3,HfO2,0.5491,0.163,0.898,0.130,0.8597,5.7,0.20,de_avg*joint_window,anode<->cathode|cross-group|weak-transport,1.288,0.086,1
305,CaO,MoO3,0.5433,0.464,0.898,0.000,0.8419,3.0,0.20,disorder_max*dose_slope_min,cross-group|weak-transport,1.363,0.150,1
306,MgF2,Ta2O5,0.5406,0.134,0.797,0.000,0.8699,4.0,0.45,de_avg*joint_window,oxyfluoride|cross-group,1.626,0.103,1
307,Gd2O3,TiO2,0.5349,0.199,0.720,0.000,0.8557,3.2,0.20,joint_window*gap_min,cross-group|weak-transport,0.993,0.108,1
308,HfO2,V2O5,0.5348,0.246,0.800,0.046,0.8597,2.3,0.20,de_avg*joint_window,weak-transport,1.360,0.178,1
309,BaO,MnO,0.5256,0.281,0.354,0.000,0.8535,3.9,0.20,de_avg*joint_window,cross-group|weak-transport|collapse-member,0.810,0.175,1
310,CrO3,ScF3,0.5244,0.220,0.834,0.000,0.8668,2.0,0.45,joint_window*gap_min,oxyfluoride,1.469,0.139,1
311,HfO2,YF3,0.5216,0.396,0.898,0.050,0.8597,5.7,0.45,disorder_max*dose_slope_min,anode<->cathode|oxyfluoride|weak-transport,1.018,0.144,1
312,Al2O3,Sb2O5,0.5151,0.173,0.768,0.000,0.8756,3.0,0.20,joint_window*gap_min,,1.184,0.121,1
313,Ga2O3,ZrO2,0.5106,0.111,0.778,0.000,0.8552,4.8,0.20,joint_window*gap_min,cross-group|weak-transport,0.756,0.064,1
314,Al2O3,La2O3,0.4956,0.123,0.768,0.000,0.8727,5.5,0.20,de_avg*joint_window,cross-group,0.809,0.087,1
315,CaO,WO3,0.4895,0.251,0.898,0.000,0.8680,2.7,0.20,joint_window*gap_min,cross-group,1.181,0.122,1
316,Sb2O5,Sm2O3,0.4831,0.194,0.652,0.151,0.8759,3.0,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group,1.308,0.094,1
317,AlF3,Y2O3,0.4830,0.329,0.910,0.019,0.8427,5.6,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,1.051,0.112,1
318,Ag2O,B2O3,0.4800,1.156,0.594,0.177,0.8199,1.3,1.00,transport_min*blocking_max,anode<->cathode|cross-group|air-protect|weak-transport,2.150,0.142,0
319,CaF2,Nb2O5,0.4772,0.192,0.898,0.000,0.8774,3.4,0.45,de_avg*joint_window,oxyfluoride|cross-group,1.435,0.124,1
320,CaO,Nd2O3,0.4725,0.541,0.898,0.000,0.9189,4.7,0.20,joint_window*transport_min,cross-group,1.212,0.134,1
321,MoO3,SrO,0.4716,0.556,0.423,0.009,0.8419,3.0,0.20,disorder_max*dose_slope_min,cross-group|weak-transport,0.845,0.125,1
322,HfO2,Sm2O3,0.4622,0.358,0.754,0.000,0.8597,4.6,0.20,disorder_max*dose_slope_min,cross-group|weak-transport,1.134,0.136,1
323,Gd2O3,TiF4,0.4537,0.225,0.720,0.000,0.8557,5.4,0.45,joint_window*gap_min,oxyfluoride|cross-group|weak-transport,1.144,0.106,1
324,La2O3,MoO3,0.4528,0.388,0.617,0.203,0.8419,3.0,0.20,disorder_max*dose_slope_min,anode<->cathode|cross-group|weak-transport,0.932,0.087,1
325,Li2O,Nb2O5,0.4516,0.214,0.898,0.000,0.8828,3.4,0.20,joint_window*gap_min,cross-group,1.243,0.118,1
326,B2O3,SiO2,0.4480,0.640,0.903,0.177,0.8199,6.2,0.20,group_cross*joint_window,anode<->cathode|weak-transport,1.392,0.127,1
327,AlF3,Ta2O5,0.4357,0.188,0.768,0.000,0.8427,4.0,0.45,de_avg*joint_window,oxyfluoride|cross-group|weak-transport,1.492,0.114,1
328,Nd2O3,YF3,0.4324,0.151,0.848,0.000,0.8824,4.7,0.45,de_avg*joint_window,oxyfluoride|cross-group,1.008,0.106,1
329,CaF2,Y2O3,0.4232,0.320,1.040,0.142,0.8774,5.6,0.45,de_avg*joint_window,anode<->cathode|oxyfluoride|cross-group,1.033,0.095,1
330,Li2O,Ta2O5,0.4219,0.162,0.898,0.000,0.8766,4.0,0.20,de_avg*joint_window,cross-group,1.227,0.111,1
331,LiF,Ta2O5,0.4208,0.140,0.898,0.000,0.8766,4.0,0.45,de_avg*joint_window,oxyfluoride|cross-group,1.428,0.112,1
332,MoO3,ScF3,0.4142,0.305,0.834,0.000,0.8419,3.0,0.45,group_cross*joint_window,oxyfluoride|weak-transport,1.367,0.158,1
333,MnO,ScF3,0.4108,0.228,0.834,0.000,0.8535,3.9,0.45,group_cross*joint_window,oxyfluoride|weak-transport|collapse-member,1.577,0.111,1
334,CrO3,YF3,0.4091,0.237,0.848,0.000,0.8668,2.0,0.45,joint_window*gap_min,oxyfluoride,1.472,0.143,1
335,LaF3,Sb2O5,0.3987,0.081,0.665,0.247,0.8784,3.0,0.45,joint_window*gap_min,anode<->cathode|oxyfluoride|cross-group,1.099,0.085,1
336,CoO,Gd2O3,0.3931,0.226,0.720,0.000,0.8557,2.5,0.60,joint_window*gap_min,cross-group|weak-transport|collapse-member,1.283,0.096,1
337,AlF3,Nb2O5,0.3909,0.192,0.768,0.000,0.8427,3.4,0.45,joint_window*gap_min,oxyfluoride|cross-group|weak-transport,1.469,0.113,1
338,Ag2O,Gd2O3,0.3764,0.601,0.742,0.022,0.8557,1.3,1.00,joint_window*gap_min,cross-group|air-protect|weak-transport,2.056,0.091,0
