"# energy-resolved -pCOHP (bonding>0). host bonds, b2o3(extended Li2p) vs modelc(LPSCl1.6).",ICOHP eV/bond: P-S b2o3 -6.023 modelc -6.0; S-S b2o3 -0.116 modelc -0.11; Li-S b2o3 -1.68 modelc -1.717; Li-Cl b2o3 -2.076 modelc -2.103
E_minus_EF_eV,P-S_b2o3,P-S_modelc,S-S_b2o3,S-S_modelc,Li-S_b2o3,Li-S_modelc,Li-Cl_b2o3,Li-Cl_modelc
2.0557,-38.51752,-28.87383,1.54001,1.34695,1.42188,0.02135,-2.22740,-1.03712
2.1059,-40.52301,-25.89759,1.59885,1.17968,1.48759,0.04244,-2.10688,-0.92550
2.1560,-41.36967,-22.05394,1.61336,0.97700,1.43849,0.09983,-1.97416,-0.77883
2.2061,-39.27627,-19.43364,1.48606,0.82550,1.31829,0.16574,-1.80483,-0.67911
2.2563,-34.79710,-18.78727,1.22460,0.75752,1.22900,0.21383,-1.64375,-0.65887
2.3064,-30.37267,-19.17671,0.92949,0.73341,1.27223,0.22929,-1.59169,-0.68861
2.3565,-27.85584,-19.57643,0.68508,0.69813,1.45002,0.21669,-1.69467,-0.73762
2.4067,-27.34821,-20.31458,0.49574,0.63558,1.64338,0.18931,-1.89872,-0.82782
2.4568,-28.25397,-22.43895,0.31474,0.54661,1.71328,0.13871,-2.13968,-1.01159
2.5070,-30.52502,-26.23177,0.10037,0.40185,1.61414,0.02677,-2.45178,-1.31782
2.5571,-34.56715,-30.92653,-0.15844,0.16671,1.39550,-0.16706,-2.95928,-1.73875
2.6072,-40.41700,-35.46844,-0.44625,-0.13390,1.12024,-0.39601,-3.76413,-2.27262
2.6574,-47.40258,-39.19548,-0.73576,-0.41864,0.82427,-0.57625,-4.85229,-2.99543
2.7075,-54.49873,-42.34018,-1.00020,-0.62988,0.54733,-0.68512,-6.09814,-4.08562
2.7577,-60.80215,-45.97068,-1.21937,-0.78982,0.34024,-0.80916,-7.34615,-5.69944
2.8078,-65.67992,-50.42097,-1.38433,-0.95271,0.20285,-1.06364,-8.49112,-7.67386
2.8579,-68.60256,-53.96904,-1.50405,-1.12711,0.03815,-1.47840,-9.48877,-9.48237
2.9081,-69.05460,-53.95027,-1.60736,-1.25932,-0.29334,-1.97694,-10.31202,-10.59277
2.9582,-66.95741,-49.59609,-1.73552,-1.29772,-0.86526,-2.44974,-10.94815,-10.91305
3.0084,-63.32734,-43.00584,-1.92837,-1.25707,-1.63645,-2.81125,-11.47005,-10.74923
3.0585,-60.14876,-37.22490,-2.20675,-1.21020,-2.50439,-2.96141,-12.07888,-10.30943
3.1086,-59.17147,-33.81073,-2.55925,-1.23326,-3.39741,-2.78630,-13.02845,-9.46873
3.1588,-60.78422,-32.79998,-2.94722,-1.37389,-4.31776,-2.27097,-14.48366,-8.16319
3.2089,-64.04720,-33.94642,-3.32505,-1.64808,-5.30383,-1.60965,-16.41749,-6.82869
3.2590,-67.59361,-37.04943,-3.65713,-2.03727,-6.35435,-1.12669,-18.60019,-6.18003
3.3092,-70.45710,-41.38719,-3.92485,-2.48680,-7.39003,-1.05518,-20.69090,-6.56408
3.3593,-72.31378,-45.64909,-4.12712,-2.91737,-8.30080,-1.37486,-22.37967,-7.64800
3.4095,-73.16985,-48.71418,-4.27002,-3.26069,-9.05230,-1.85205,-23.46514,-8.75406
3.4596,-72.93750,-50.23883,-4.35020,-3.48734,-9.75981,-2.22985,-23.84467,-9.40176
3.5097,-71.45097,-50.60624,-4.35793,-3.61747,-10.65655,-2.39285,-23.54408,-9.55826
3.5599,-68.85542,-50.17220,-4.30221,-3.67226,-11.98077,-2.32989,-22.82720,-9.39334
3.6100,-65.63141,-48.71182,-4.21663,-3.62637,-13.85898,-2.03652,-22.19341,-8.96385
3.6602,-61.99096,-45.68439,-4.12387,-3.43143,-16.21349,-1.55233,-22.11789,-8.23123
3.7103,-57.44007,-41.04021,-4.00294,-3.09047,-18.72286,-1.06492,-22.72602,-7.34002
3.7605,-51.24468,-35.58975,-3.80970,-2.68762,-20.95062,-0.85999,-23.73965,-6.71679
3.8106,-43.37767,-30.57599,-3.53333,-2.33911,-22.66387,-1.17488,-24.77452,-6.88027
3.8607,-34.93717,-26.76606,-3.22736,-2.11083,-24.06103,-2.12550,-25.71758,-8.18061
3.9109,-27.63360,-24.10077,-2.98287,-1.99082,-25.61178,-3.69315,-26.83822,-10.64842
3.9610,-22.77699,-21.98937,-2.86335,-1.91768,-27.65098,-5.69384,-28.51263,-13.87782
4.0111,-20.54464,-19.86799,-2.85547,-1.83948,-30.15074,-7.92493,-30.80358,-17.16261
4.0613,-20.09180,-17.70255,-2.88622,-1.76753,-32.86104,-10.39061,-33.35642,-19.88749
4.1114,-20.33211,-15.97535,-2.89285,-1.76198,-35.64053,-13.20029,-35.76958,-21.85620
4.1616,-20.59414,-15.01403,-2.86885,-1.84079,-38.64592,-16.15098,-37.98941,-23.22184
4.2117,-20.65948,-14.51759,-2.84211,-1.93133,-42.15656,-18.65179,-40.21531,-24.25077
4.2618,-20.47447,-13.94114,-2.82943,-1.95510,-46.15469,-20.50483,-42.45504,-25.32649
4.3120,-19.99554,-13.15513,-2.82209,-1.92337,-50.10607,-22.29839,-44.31179,-26.69729
4.3621,-19.21095,-12.40411,-2.79974,-1.90608,-53.25235,-24.68949,-45.24784,-28.04830
4.4123,-18.17775,-11.83264,-2.74510,-1.93265,-55.19097,-27.50360,-45.00207,-28.69821
4.4624,-17.02638,-11.40493,-2.65373,-1.97609,-56.21565,-29.93510,-43.74387,-28.31308
4.5125,-15.94358,-11.10545,-2.54160,-2.01297,-57.14781,-31.64182,-41.90131,-27.13312
4.5627,-15.10687,-10.92831,-2.44002,-2.04574,-58.78317,-33.15801,-39.88282,-25.46597
4.6128,-14.56975,-10.68717,-2.37036,-2.06609,-61.27793,-35.19491,-37.88762,-23.33778
4.6630,-14.19529,-10.04947,-2.32036,-2.03409,-63.93455,-37.80067,-35.89805,-20.68100
4.7131,-13.75412,-8.86139,-2.25502,-1.91319,-65.74113,-40.31916,-33.85860,-17.74649
4.7632,-13.13176,-7.34325,-2.15563,-1.71390,-66.32175,-42.13195,-31.87073,-15.05846
4.8134,-12.42607,-5.93968,-2.04032,-1.49567,-66.32254,-43.15980,-30.17265,-13.08592
4.8635,-11.82313,-4.98229,-1.94177,-1.32727,-66.73871,-43.69677,-28.91411,-11.97147
4.9136,-11.40479,-4.51716,-1.87246,-1.24240,-67.90994,-43.89140,-27.99166,-11.56981
4.9638,-11.10516,-4.42488,-1.81946,-1.22715,-69.32044,-43.63668,-27.15184,-11.67359
5.0139,-10.82628,-4.61801,-1.76782,-1.24609,-70.32806,-43.03915,-26.27050,-12.14522
5.0641,-10.54646,-5.05775,-1.71836,-1.27502,-70.83522,-42.65038,-25.50612,-12.83670
5.1142,-10.31300,-5.61878,-1.68168,-1.30191,-71.18120,-42.94987,-25.15235,-13.47026
5.1643,-10.16706,-6.07372,-1.66309,-1.30960,-71.62614,-43.72956,-25.35664,-13.77908
5.2145,-10.09978,-6.23126,-1.65750,-1.27790,-72.14349,-44.20243,-26.00966,-13.73318
5.2646,-10.06535,-6.05133,-1.65507,-1.20525,-72.61379,-43.64593,-26.87468,-13.51485
5.3148,-10.00849,-5.63646,-1.64726,-1.11385,-73.01780,-41.97248,-27.75991,-13.30119
5.3649,-9.87813,-5.18474,-1.62921,-1.03437,-73.42760,-39.87423,-28.56758,-13.20473
5.4150,-9.64338,-4.92246,-1.60145,-0.98836,-73.91219,-38.35280,-29.24492,-13.33197
5.4652,-9.32241,-4.98213,-1.57130,-0.97768,-74.45876,-37.86820,-29.73812,-13.72087
5.5153,-8.99119,-5.30367,-1.55002,-0.98159,-74.93741,-37.90421,-29.99428,-14.21706
5.5655,-8.74428,-5.68561,-1.54585,-0.96862,-75.17814,-37.43738,-29.99693,-14.52331
5.6156,-8.63670,-5.94675,-1.55789,-0.92112,-75.11573,-35.85108,-29.79321,-14.40538
5.6657,-8.65024,-6.07174,-1.57459,-0.85122,-74.77561,-33.45336,-29.46131,-13.91203
5.7159,-8.69845,-6.20487,-1.57833,-0.79149,-74.07865,-31.23933,-29.02990,-13.39657
5.7660,-8.66989,-6.49561,-1.55510,-0.76736,-72.76936,-30.10568,-28.44297,-13.25078
5.8162,-8.48792,-6.94239,-1.50172,-0.77825,-70.57649,-30.18656,-27.60353,-13.56486
5.8663,-8.11834,-7.38497,-1.41975,-0.80540,-67.18277,-30.98247,-26.35512,-14.09835
5.9164,-7.50012,-7.65552,-1.29990,-0.83109,-61.83836,-31.97260,-24.34981,-14.55920
5.9666,-6.51401,-7.69685,-1.12013,-0.84449,-53.41243,-32.89146,-21.09892,-14.78849
6.0167,-5.11010,-7.58583,-0.87193,-0.83817,-41.57798,-33.61348,-16.45850,-14.74828
